,Cluster,Count,Word
0,0,1,all
1,0,1,forget
2,0,2,revientan
3,0,3,forcé
4,0,7,#FirstDates135
5,0,1,dissolution
6,0,1,pide
7,0,63,tratan
8,0,3,separan
9,0,2,children
10,0,2,@Karabo_Mokgoko:
11,0,6,carpet
12,0,2,up.
13,0,27,Pitt?
14,0,1,"up,"
15,0,1,LAST
16,0,2,"up"""
17,0,2,PITT
18,0,6,@Jujubando_:
19,0,28,Pitt.
20,0,25,to
21,0,3,divorcian
22,0,1,https://t.co/XVO92CzeNB
23,0,1,Pitt'
24,0,1,sorry
25,0,1,"Pitt"""
26,0,1,Pitt!
27,0,3,faz
28,0,3,https://t.co/p2QqvozfX0
29,0,1,@MoviesOrTV:
30,0,3,worse
31,0,2,very
32,0,3,casal
33,0,1,#Ang…
34,0,1,sono
35,0,1,Hier
36,0,26,gemaakt
37,0,3,@valzarya:
38,0,1,I'm
39,0,1,@ReutersIndia:
40,0,1,https://t.co/0viPaMwEIr
41,0,3,celebrity
42,0,1,https://t.co/kb3ANcBLmm
43,0,1,clearly.
44,0,1,Does
45,0,6,https://t.co/cQxgOXxYMR
46,0,2,"klar,"
47,0,3,douara
48,0,1,@BirchboxFR:
49,0,1,her…
50,0,4,lawyer
51,0,1,#Jolie
52,0,3,BREAK!”
53,0,5,what
54,0,5,f*ck
55,0,23,Jolie's
56,0,2,sus
57,0,1,sur
58,0,13,sobre
59,0,5,told
60,0,1,edited
61,0,2,Made
62,0,26,iemand
63,0,1,men
64,0,3,meu
65,0,13,Pitt:
66,0,1,cuenta!
67,0,1,même
68,0,1,día
69,0,4,NON
70,0,4,NOI
71,0,4,DITEMELO
72,0,1,wha…
73,0,2,verdade
74,0,3,laver
75,0,9,via
76,0,2,💔😭😩
77,0,2,Top
78,0,1,https://t.co/KpvGygm338
79,0,1,#angelinajolie
80,0,2,reazioni.
81,0,1,https://t.co/lhpE95eKKu
82,0,4,🔳Rt
83,0,1,divorce.
84,0,5,"Pitt,"
85,0,1,"divorce,"
86,0,1,#AngelinaJolie
87,0,1,https://t.co/JxLRJDdtxW
88,0,1,up?!
89,0,2,6
90,0,1,divorce:
91,0,2,divorce?
92,0,3,more
93,0,2,separated
94,0,1,@elcomercio:
95,0,1,"Okay,"
96,0,1,https://t.co/5sg5D…
97,0,2,this!'
