,geo,screen_name,text,tweet_id,cluster_pred
0,,sami64028,"https://t.co/OfgsUelaXL … 
#BRANGELINA #ErdoganVoiceTheOppressed  #FreeGilinsky #LIMITE2GH17 #JenniferAniston #lucasperez #PakoAyestaran V",778340103903121408,1
1,,AND_WHEATON,#TeamPetty 😂😂😂 https://t.co/7e04kAVxOd,778340105597706240,1
2,,gratefulcheddar,#meteor2016 https://t.co/oqEeEBO6bt,778340108181250048,1
3,,MakeupTrends24,A Complete Timeline of Angelina Jolie and Brad Pitt’s Relationship #celebritynews #entertainment #angelinajolie #bradpitt #brangelina,778340110060388352,0
4,,LopezOrihuela,"Un chistecito para animar la tarde.

#brangelina #fujimori https://t.co/3qnlTfJz1O",778340112228900868,0
5,,itsmeejoshie,"#Brangelina is no more, #whereisthelove",778340112941719552,0
6,,TheosAunt,#brangelina https://t.co/LrPjHAW2OU,778340113923379200,0
7,,heymannyg,#Brangelina https://t.co/vU8rFUGIKY,778340114749460480,1
8,,PeterGraystone,"No more #brangelina but, ladies and gentlemen, don't we all love Jimelda.  https://t.co/hVZtpU66sr",778340118411313152,1
9,,GlitteryAllsort,"I thought that was the day that Brad and Jen split up? (Sorry, couldn't help myself) #brangelina https://t.co/7dSuX5R70m",778340118868484102,0
10,,ActressNik,*gigglesnort* https://t.co/zaYRPf9ceo,778340119308804096,1
11,,Mathi_dreamer,"Entonces llegamos a la conclusión que el estúpido amor sin importar los 1000 hijos incluidos, se acaba.  #Brangelina",778340119971500032,2
12,,NjokiMsays,Namely their 6 kids 🙁 https://t.co/8OmlgSyXm6,778340121309503488,2
13,,Everdeeninfire,"A me piace da morire una persona e continuo a crederci nell'amore, per favore non spariamo cazzate #Brangelina",778340123146588160,0
14,,susanlady,And #Brangelina is still trending. https://t.co/wLnk0p1V3W,778340122781683713,1
15,,Sixupeace,Me reading the tweets like #Brangelina https://t.co/GSVTbvwOGv,778340122135781377,0
16,,elliothannon,Brangelina for Secretary General. https://t.co/rvqVIHx1Pt,778340127542214656,1
17,,ayo_meeks,thank you now #Brangelina now i have no hope in the world to be in a relationship 🙋🏽 https://t.co/OQOcn6fC3f,778340126619344896,1
18,,dontlulume,It wasn't love it was a perfect illusion #Brangelina https://t.co/y3pGQak99R,778340127068319744,1
19,,iRobertGaGo,Después de saber que  #Brangelina se divorciaron ya no creo en el amor😢,778340128158646272,2
20,,22Words,What do you think about #Brangelina's split?,778340132378251265,0
21,,AstridRory,RIP #Brangelina: 2006 - 2016 @CNNI https://t.co/6xLa7HsEE9,778340133560918016,0
22,,jonilet15,"PUSH more... 
#TIMYTheRooftopKiss https://t.co/wByydKp7ne",778340135431655424,1
23,,dee_ai89,Rule nr1... #Brangelina https://t.co/KTzIm3L71s,778340135054303232,0
24,,AstridRory,RIP #Brangelina: 2006 - 2016 @CNNI https://t.co/CgRCwzcnt3,778340136325177347,0
25,,Lmmo_k,هههههههههه ضحكني اكثر من اللازم😂😭 https://t.co/IxTdJBBbA4,778340137541496837,1
26,,Cutitcut,"Donc Angelina Jolie et Brad Pitt c'est fini ? 
Bon  ... #brangelina",778340138225197061,0
27,,Eliz1383,Karma is real. #Brangelina,778340138791243776,0
28,,CanadianFireB,Me af https://t.co/nN1P0nAPpW,778340138472595460,1
29,,btwcolin,Piango https://t.co/MmBlZTqMsE,778340139361771520,1
30,,reaganisahero,FreeBeacon: https://t.co/vlUH2gHeq2,778340142566281216,1
31,,inviernotibio,"Quiero saber por qué terminó #Brangelina, no quiero ver sus memes.",778340144218775552,0
32,,nunezmarianne,NOOOO https://t.co/JArg9SdFVj,778340144940056577,1
33,,sami64028,"https://t.co/OfgsUelaXL … 
#BRANGELINA #ErdoganVoiceTheOppressed  #FreeGilinsky #LIMITE2GH17 #JenniferAniston #lucasperez #PakoAyestaran W",778340149939822592,1
34,,grace_rached,Heartbroken is an understatement https://t.co/96COYIDwnC,778340151575519232,1
35,,valenscaba,Cuando me enteré que Brad y Angelina se separaron #Brangelina https://t.co/C17oWC1tUo,778340151504297984,2
36,,iamzafuzz,"If you're mourning the death of #Brangelina, here's something else that runs along the same vein to distract you https://t.co/YF5xgARW81",778340151701413888,1
37,,jonasdlatorre,"Quedate con quien te vea...Ah no, ni aunque te vea así, no se van a quedar juntos 💔 #Brangelina https://t.co/XjkBTi9psN",778340153014136832,0
38,,biebzravhl,💔 #Brangelina https://t.co/QBctrgFKBB,778340154507403264,1
39,,FilipPetkovic,"Perfect Match sa srecnim zavrsetkom ne postoji, evo upravo su #Brangelina to i dokazali",778340157539876868,1
40,,AnDuinnineach,"Was it something I said Angelina?? 😭😭 

#Brangelina 

https://t.co/5gytJiVewV",778340158211063808,0
41,,nagihansaka,"How nice news : )) 
Married is devil action..
To have people.. 
Congrulations..  #Brangelina
to leave devil statu..",778340158844403714,1
42,,Betio90210,Jajajajajajajajaja https://t.co/yxHvJGbiDJ,778340160211529728,1
43,,SidoKola,Che triste che se fossero stati brutti nessuno avrebbe cagato il loro divorzio #brangelina,778340162413682688,2
44,,EmilandDariel,"Killed in 2016:

- Harambe 
- iPhone headphone jack  
- #Brangelina",778340162568945666,0
45,,steventeaster,#Brangelina sorry to hear about Brad and Angelina Jolie I'm sure there's a plan for them both #0nelove #jazz #uk https://t.co/APZqRQadoK,778340162531057664,0
46,,acmtweetbot,#RT nytimes: RT NYTStyles: Say goodbye to #brangelina https://t.co/9M1i9lTgf7 https://t.co/7NEvQnmQoN,778340165567799298,1
47,,hisena_,#Brangelina  No matter what happens they will always be my OTP. Wish the two of you all the best! xx https://t.co/7NEKAyJCnA,778340166046015488,0
48,,georgianwebster,"Lol I swear #Brangelina tag is made up of:

10% Brangelina

90% assumptions on how Jennifer Aniston would react 😭😂",778340169846026241,0
49,,_theonlykalika_,"All the love, the movies, the kids, what about together foreva eva 😭😂😂 #Brangelina",778340171825582080,0
50,,mytinybaek,ciddi mi lan? duyduğumdan beri şoktayım. bunlar bile boşanıyorsa ben nerelere vurayım bu kafayı amınakoyayım 12 yıl boru mu #Brangelina,778340173381795840,0
51,,bentouatiwafa,can't come through after this #Brangelina breakup- smh there ain't no hope guys,778340174354845696,1
52,,lauricequing,Why oh why?!😭😭😭💔 #Brangelina https://t.co/0KNOL4Dpy5,778340174879076352,1
53,,JoshuaA38655360,I dunno. I don't think it'll last. 20 bucks says they get back together. #Brangelina,778340179501133824,0
54,,luizatwittando,Ohh PENINHA do meu Brad...😪 https://t.co/k8cZliswq4,778340179488739329,0
55,,AnaMariaHx,"eso explica la extrema delgadez de Angelina tambien , la ha pasado mal https://t.co/0ujn1mrruJ",778340179685810176,0
56,,Roro_fateel,Me realizing that this world is not safe anymore... #brangelina https://t.co/jdnhm5gy4p,778340182915514369,1
57,,inane198,#Brangelina https://t.co/ySikROQ6GE,778340192386162688,1
58,,leah2504,I honestly feel bad for Brad and Angelina but these Jennifer Aniston tweets are too fucking funny #brangelina,778340194097459200,0
59,,Jonathan_Young_,When more people are upset over #Brangelina than the fact that Clinton and Trump are the nominees. Please come quickly @smod2016.,778340194353242112,0
60,,sami64028,"https://t.co/OfgsUelaXL … 
#BRANGELINA #ErdoganVoiceTheOppressed  #FreeGilinsky #LIMITE2GH17 #JenniferAniston #lucasperez #PakoAyestaran X",778340195401883648,1
61,,positivelyslim,Hi @TVpsychologist Jo! Lots of talk about #Brangelina today. What are your thoughts? #Divorce #relationships,778340197457072128,0
62,,MiaoReport,This +1 RT @hayleedadams: ladies let us take a moment in the #brangelina chaos to remember that if he'll cheat for you he'll cheat on you.,778340197410963456,0
63,,anniethelion,Nobody cares about #Brangelina do get over it! 😴,778340201844191232,0
64,,TBilich,I don't really understand the schadenfreude here. Divorce is painful. https://t.co/Ma6gbZtvdw,778340201907314692,1
65,,keetots,Thanks Obama! #Brangelina,778340203685478400,0
66,,nataliasm__,"Ni se veían tan bonitos, tbh. #Brangelina",778340208219598848,1
67,,nataliasm__,"Ni se veían tan bonitos, tbh. #Brangelina",778340208219598848,1
68,,jevatch,😂😂😂😂😂 https://t.co/vPmk97XTeq,778340209759059968,1
69,,KatMagic_,#BrexPitt #brangelinadivorce #JenniferAniston #MarionCotillard #AngelinaJolie #brangelina https://t.co/7J5x2Yavv5,778340206311272448,0
70,,CatCoughlin,Family Court filings being public information is among the most grotesque facts of our law. Privacy is everything. https://t.co/04AQTmUlAa,778340213873602561,0
71,,_SarahMcDonagh,Love jolie but found this funny 😂 https://t.co/hYrzeD83fT,778340215098343424,0
72,,anaistevie,don't trust no one😳 #Brangelina,778340216117551104,0
73,,Nightjbe,Brad and Angelina 😱 https://t.co/0XcvLahqYj,778340216381636609,0
74,,sharelaugh,"PAK IS REAL HELL
#Brangelina
#TrumpACandy
#FreeGilinsky
#TerenceCruthcher
Jennifer Aniston
#DolanTwinsNewVideo
Pest… https://t.co/994LyXvLx6",778340216167948288,0
75,,AmatureTeens,On what website do you watch porn? ☻ #camgasm NEW!!! @ https://t.co/Ph9hjtUbkT Click now! #brangelina #amatureteens… https://t.co/87OHoTYvbj,778340216260136960,1
76,,returnofthebmac,The trailer for Brad Pitt's new movie was released within hours of the #Brangelina divorce news https://t.co/LhUBK14sgi,778340218256646144,0
77,,guzmn_glez,@judithglezc calla y mira esto por deuss 😂https://t.co/VVSvbK75SQ,778340220886511616,0
78,,marcoliorni,😄 https://t.co/SUvUKAtxGe,778340224623636480,1
79,,Muser_ley274,"2016 took a great number of people we love from us, then it decided to advance a step further and take love from us as a whole #brangelina",778340225072394241,0
80,,smcourt1,Team Aniston reunited. Oh god I am so 90's and still so bitter #Brangelina,778340226133622784,0
81,,Tab_Informa,"Jennifer Aniston ""celebra"" ruptura de #Brangelina en memes https://t.co/YoPR9kgmpS Vía Mileniohey https://t.co/GyJ2tRoOWs",778340226687201280,0
