,Cluster,Count,User
0,0,1,DevonHeinen
1,0,1,L3ftprincess
2,0,1,TheBishopTuTu
3,0,1,bdball
4,0,1,yojbrags
5,0,1,Bossip
6,0,1,yeguaknobbs
7,0,1,knicoles528
8,0,1,thatmikereed
9,0,1,MrsCirrincione
10,0,1,doxyrum
11,0,1,mik3alexsdad
12,0,1,thekittchen
13,0,1,zach_cw
14,0,1,Kreggo_Eats
15,0,1,Johnny5024
16,0,1,yo_Momz_
17,0,1,adam_kels
18,0,1,KatiePavlich
19,0,1,RealestDVD
20,0,1,oscarGosei
21,0,1,gubatron
22,0,1,iammaredhead
23,0,1,gymclasszero
24,0,1,Makori_Oyagi
25,0,1,JCCC629
26,0,1,XxViper_TxX
27,0,1,VidaSoCali
28,0,1,marksalke
29,0,1,GREATDEKO
30,0,1,od88
31,0,1,delsina363
32,0,1,DeepBlueEuro
33,0,1,DWidenor
34,0,1,boringplum
35,0,1,ilovedrummin
36,0,1,BowTieDG
37,0,1,nvrggivup
38,0,1,politacenter
39,0,1,idean66
40,0,1,FoxNews
41,0,1,redwingwoody
42,0,1,imBrittanyelle
43,0,1,lovelightme
44,0,1,WhiteMentat
45,0,1,MarthaEkdahl
46,0,1,PigGrease
47,0,1,FRECKELZZ07
48,0,1,AaronLetrick
49,0,1,aprilmego
50,0,1,kjwinston11
51,0,1,BethanySchira
52,0,1,ResePie20
53,0,1,DramaTweetBrad
54,0,1,rheatsunami
55,0,1,AlexWMendoza
56,0,1,kingley
57,0,1,nalasked
58,0,1,livylove90
59,0,1,_jaymearielle
60,0,1,LauraDavis31
61,0,1,KyleFromOshawa
62,0,1,KramzSucks
63,0,1,dball1126
64,0,1,iamtallandthin
65,0,1,marcnatandcat
66,0,1,mlhollow
67,0,1,atom58
68,0,1,connerbusler
69,0,1,SunniAndTheCity
70,0,1,iUncleKyle
71,0,1,TazWZZM
72,0,1,Jardinna
73,0,1,PledgeCarlee
74,0,1,Joseph_La_Rue
75,0,1,Mehnaz86
76,0,1,iamtiffjones
77,0,1,ajrupp
