,Clusters,RTs,Total_tweets,CumRT
0,2,52,100,52
1,2,55,200,107
2,2,48,300,155
3,3,48,400,203
4,2,54,500,257
5,2,47,600,304
6,2,46,700,350
7,3,51,800,401
8,3,53,900,454
9,2,49,1000,503
10,2,56,1100,559
11,2,42,1200,601
12,2,48,1300,649
13,2,45,1400,694
14,3,47,1500,741
15,3,54,1600,795
16,2,39,1700,834
17,2,56,1800,890
18,2,44,1900,934
19,2,54,2000,988
20,4,58,2100,1046
21,2,46,2200,1092
22,3,54,2300,1146
23,3,48,2400,1194
24,2,52,2500,1246
25,2,50,2600,1296
26,2,48,2700,1344
27,2,63,2800,1407
28,3,57,2900,1464
29,2,51,3000,1515
30,2,55,3100,1570
31,2,46,3200,1616
32,2,52,3300,1668
33,4,55,3400,1723
34,2,52,3500,1775
35,3,50,3600,1825
36,3,43,3700,1868
37,2,37,3800,1905
38,3,53,3900,1958
39,3,54,4000,2012
40,2,58,4100,2070
41,2,49,4200,2119
42,2,45,4300,2164
43,2,49,4400,2213
44,5,54,4500,2267
45,3,46,4600,2313
46,2,46,4700,2359
47,4,48,4800,2407
48,2,54,4900,2461
49,2,48,5000,2509
50,3,52,5100,2561
51,2,48,5200,2609
52,2,55,5300,2664
53,2,45,5400,2709
54,3,48,5500,2757
55,2,43,5600,2800
56,2,46,5700,2846
57,3,52,5800,2898
58,4,52,5900,2950
59,2,53,6000,3003
60,2,48,6100,3051
61,2,46,6200,3097
62,2,45,6300,3142
63,3,42,6400,3184
64,2,48,6500,3232
65,3,51,6600,3283
66,2,49,6700,3332
67,2,46,6800,3378
68,3,47,6900,3425
69,2,32,7000,3457
70,3,51,7100,3508
71,3,49,7200,3557
72,7,50,7300,3607
73,4,41,7400,3648
74,3,51,7500,3699
75,3,49,7600,3748
76,4,51,7700,3799
77,4,53,7800,3852
78,2,43,7900,3895
79,2,58,8000,3953
80,2,54,8100,4007
81,4,47,8200,4054
82,2,52,8300,4106
83,2,46,8400,4152
84,7,45,8500,4197
85,2,46,8600,4243
86,4,48,8700,4291
87,4,51,8800,4342
88,2,47,8900,4389
89,4,43,9000,4432
90,2,46,9100,4478
91,3,39,9200,4517
92,4,41,9300,4558
93,3,46,9400,4604
94,2,37,9500,4641
95,2,39,9600,4680
96,5,43,9700,4723
97,2,41,9800,4764
98,2,49,9900,4813
99,3,41,10000,4854
100,3,47,10100,4901
101,4,52,10200,4953
102,2,44,10300,4997
103,5,51,10400,5048
104,3,58,10500,5106
105,3,45,10600,5151
106,3,61,10700,5212
107,3,50,10800,5262
108,2,39,10900,5301
109,3,44,11000,5345
110,4,54,11100,5399
111,6,48,11200,5447
112,2,47,11300,5494
113,5,46,11400,5540
114,2,55,11500,5595
115,4,43,11600,5638
116,5,48,11700,5686
117,2,45,11800,5731
118,2,35,11900,5766
119,2,46,12000,5812
120,2,44,12100,5856
121,3,41,12200,5897
122,2,46,12300,5943
123,6,45,12400,5988
124,3,49,12500,6037
125,5,41,12600,6078
126,4,60,12700,6138
127,3,47,12800,6185
128,6,49,12900,6234
129,5,45,13000,6279
130,2,37,13100,6316
131,2,48,13200,6364
132,3,48,13300,6412
133,2,48,13400,6460
134,3,52,13500,6512
135,2,57,13600,6569
136,4,52,13700,6621
137,2,51,13800,6672
138,2,44,13900,6716
139,4,37,14000,6753
140,3,46,14100,6799
141,2,53,14200,6852
142,3,48,14300,6900
143,5,53,14400,6953
144,2,59,14500,7012
145,2,60,14600,7072
146,4,50,14700,7122
147,2,59,14800,7181
148,2,49,14900,7230
149,4,45,15000,7275
150,3,55,15100,7330
151,3,51,15200,7381
152,4,43,15300,7424
153,2,53,15400,7477
154,2,52,15500,7529
155,2,44,15600,7573
156,2,52,15700,7625
157,6,46,15800,7671
158,6,54,15900,7725
159,2,45,16000,7770
160,2,47,16100,7817
161,3,57,16200,7874
162,3,51,16300,7925
163,2,40,16400,7965
164,2,57,16500,8022
165,2,56,16600,8078
166,2,56,16700,8134
167,2,55,16800,8189
168,2,54,16900,8243
169,4,67,17000,8310
170,3,48,17100,8358
171,2,57,17200,8415
172,2,53,17300,8468
173,2,45,17400,8513
174,3,45,17500,8558
175,2,59,17600,8617
176,3,61,17700,8678
177,3,51,17800,8729
178,2,53,17900,8782
179,2,57,18000,8839
180,4,52,18100,8891
181,3,53,18200,8944
182,2,53,18300,8997
183,2,57,18400,9054
184,2,59,18500,9113
185,3,60,18600,9173
186,2,70,18700,9243
187,2,55,18800,9298
188,3,57,18900,9355
189,3,62,19000,9417
190,2,65,19100,9482
191,2,54,19200,9536
192,2,57,19300,9593
193,3,67,19400,9660
194,2,56,19500,9716
195,2,54,19600,9770
