,Cluster,Count,Word
0,0,3,#emmys2016
1,0,1,#EmilyRatajkowski
2,0,3,#TrumpPence16
3,0,1,Pues
4,0,3,PROUD
5,0,1,https://t.co/k9lI6SsHJd
6,0,1,@MrTonyHale
7,0,1,Does
8,0,1,nominaron
9,0,1,Until
10,0,2,otro
11,0,1,https://t.co/RnnRfDU8cJ
12,0,1,teaching
13,0,1,sorry
14,0,1,#AVCtv
15,0,1,serenidade
16,0,1,Ótimo
17,0,1,Grey's
18,0,1,better.
19,0,1,dele
20,0,1,void
21,0,1,McKinnon
22,0,1,NANDITO
23,0,1,algunos
24,0,1,https://t.co/y4I6YvQiQz
25,0,1,yellow
26,0,1,anciens.
27,0,1,O.J.
28,0,1,#BestComedySeries
29,0,1,FRANCE
30,0,1,momentinho
31,0,1,https://t.co/NuzAYgYTWR
32,0,1,Sandy
33,0,1,HAPPENED
34,0,1,tenía
35,0,1,her.
36,0,2,esos
37,0,1,BEM
38,0,1,her!
39,0,1,https://t.co/oprreX28yy
40,0,3,OJ
41,0,1,likely
42,0,1,#JuliaLouisDreyfus
43,0,1,nigt
44,0,1,https://t.co/0oDi2I8T5B
45,0,4,even
46,0,1,admire
47,0,4,nem
48,0,2,tonight's
49,0,1,contributed
50,0,1,calculator…
51,0,1,💯%
52,0,1,olvidé
53,0,1,Hodor
54,0,3,sobre
55,0,1,https://t.co/Le93tVKEVa
56,0,6,new
57,0,1,*sobs*
58,0,2,ever
59,0,1,YET?
60,0,1,eso?
61,0,1,never
62,0,10,here
63,0,4,meu
64,0,1,mes
65,0,1,101
66,0,1,🙌🏿
67,0,2,🙌🏽
68,0,1,https://t.co/3Th993WOND
69,0,1,dry
70,0,1,❤️🙈💯💡
71,0,1,#PSA
72,0,1,GOAT
73,0,1,2016🏼
74,0,1,NOW
75,0,3,tweet
76,0,5,Emmys
77,0,1,https://t.co/zHeaQw0ZSi
78,0,1,https://t.co/Bp2JRHofGl
79,0,1,esteve
80,0,1,#GameOfTrones
81,0,1,#ImWithHer
82,0,1,"""The"
83,0,1,https://t.co/gf4K5xrI6a
84,0,1,comemorar
85,0,1,mashable:
86,0,1,https://t.co/G775ID5VDf
87,0,2,DAMIEN
88,0,1,EXPENSIVE!!!
89,0,1,exhort
90,0,1,Pregunta
91,0,1,#ALDUBTestOfTime
92,0,1,music
93,0,1,acreditamos
94,0,1,right.
95,0,3,tell
96,0,1,https://t.co/GQCJJ39TfS
97,0,1,https://t.co/ttJMatpT2k
98,0,1,qdo
99,0,1,intros
100,0,1,preciosa
101,0,1,3.#NZLvRSA
102,0,8,Rami
103,0,1,BRITTON
104,0,1,⁦https://t.co/ptllnm6E63
105,0,1,LOUIE
106,0,3,vou
107,0,1,#GAAThisIsMajor
108,0,1,hizo
109,0,1,#MyBodyIsReady
110,0,1,EDT
111,0,2,(󾓯:
112,0,1,https://t.co/nMfzxUj87Q
113,0,1,68°
114,0,1,Cômica.
115,0,1,wand
116,0,5,La
117,0,1,Lo
118,0,1,❤️#Emmys
119,0,2,want
120,0,1,lacre
121,0,1,https://t.co/r5Yx87uwP3
122,0,1,LA
123,0,1,LO
124,0,1,Yessssssssssssssssssssssssss!
125,0,1,Anatomy
126,0,1,ganamos
127,0,2,hot
128,0,3,#ThePeoplevOJSimpson
129,0,1,win.
130,0,1,Jack
131,0,1,كذا
132,0,1,hoy
133,0,14,A
134,0,1,Lucas
135,0,1,beauty
136,0,1,alegra
137,0,1,https://t.co/q4N7uWNSao
138,0,1,Connolly
139,0,1,rompen
140,0,1,All
141,0,7,wins
142,0,1,Thread:
143,0,1,https://t.co/9VDdNmyEgl
144,0,1,18th
145,0,1,Another
146,0,1,"#TheAmericans,"
147,0,1,bronceado
148,0,1,#TheAmericans.
149,0,2,AP:
150,0,1,⁦https://t.co/xbwUYq7o5s
151,0,1,atención
152,0,1,الثاني
153,0,2,aguenta
154,0,1,Laurence
155,0,1,@EloyRC2
156,0,1,down.
157,0,1,@WhatADumbName
158,0,1,appropriating
159,0,1,before
160,0,1,PRA
161,0,3,gente
162,0,1,Trump!
163,0,5,","
164,0,1,Agree!
165,0,1,debió
166,0,1,creo
167,0,1,weeks
168,0,2,fin
169,0,2,elenco
170,0,1,thrones
171,0,1,#VictoryFortheClones
172,0,1,⁦https://t.co/Bx7LqjHhIe
173,0,1,#Emmys#RayDonovan
174,0,1,@ACSFX
175,0,1,Tambor
176,0,1,Cards
177,0,1,https://t.co/11dBDKjHMf
178,0,1,Someday
179,0,1,week.
180,0,1,arrested
181,0,1,até
182,0,1,gent?
183,0,1,para...........
184,0,1,arrow
185,0,2,went
186,0,1,Check
187,0,1,https://t.co/zLiYsy8N9l
188,0,1,https://t.co/WiSFA0PnUO
189,0,1,https://t.co/19MEpaVKLA
190,0,1,https://t.co/RDeYoOgZVO
191,0,1,Perform
192,0,3,series
193,0,1,24h
194,0,1,Woo
195,0,1,ولاعزاء
196,0,1,Fey's
197,0,1,DAYUUUMMM!!!
198,0,1,them?!
199,0,1,مثل
200,0,1,🙌🙌
201,0,6,@OrphanBlack
202,0,1,content
203,0,1,Recomendados
204,0,1,https://t.co/2YWusVpdBO
205,0,1,Super
206,0,1,https://t.co/10yUt0sKO8
207,0,1,reconocimiento
208,0,2,foto
209,0,1,https://t.co/7Den2Q1Faj
210,0,1,cutest
211,0,2,#TatianaMaslany
212,0,1,Maravilhosaaaaaaaaaaaaaaa
213,0,2,fave
214,0,1,4.#ThePeoplevOJSimpson
215,0,1,"Emmys,"
216,0,1,Bueeh
217,0,1,https://t.co/XuZVpSNNNl
218,0,1,🙌😂
219,0,1,"""mean"
220,0,1,YAAAAAS
221,0,1,@marley_ok
222,0,1,today's
223,0,1,https://t.co/U0z9mFLye1
224,0,1,FOLLOWERS➜https://t.co/60WYBI2Vfj
225,0,1,l'identità
226,0,1,https://t.co/Pm7JyUzCBR
227,0,1,MORRER
228,0,1,MIGHT
229,0,1,شيء
230,0,1,oldu
231,0,2,MARAVILHOSA
232,0,2,needed
233,0,1,maratona..
234,0,1,master
235,0,1,ATUAÇÃO
236,0,1,https://t.co/uPsTliPe2e
237,0,1,compita
238,0,1,Así
239,0,11,listen
240,0,1,ceremonia
241,0,1,https://t.co/dKPyQSMRvJ
242,0,1,5.#XFactor
243,0,1,https://t.co/DNoQu2h5wt
244,0,1,Alguna
245,0,1,YAS
246,0,1,https://t.co/GVYiyxKCMi
247,0,1,somewhat
248,0,1,صار
249,0,1,https://t.co/p1sxL6cThi
250,0,1,SOCO
251,0,1,https://t.co/LS5DItlfjz
252,0,1,Louis-Dreyfus
253,0,2,haya
254,0,1,arrecha
255,0,1,Piadas
256,0,4,este
257,0,1,https://t.co/joKclfBInL
258,0,1,@Bloodline
259,0,1,esta
260,0,1,agenda⚔#MAGA
261,0,1,"""Best"
262,0,1,lost...
263,0,1,eyes
264,0,1,Angela
265,0,1,nimgún
266,0,1,Ass
267,0,1,guys.
268,0,1,do.
269,0,1,https://t.co/kogJJfmhrt
270,0,1,Band
271,0,1,do?
272,0,1,MEJOR
273,0,1,https://t.co/PXe4kgLYUM
274,0,1,desse
275,0,1,يحصل
276,0,1,dessa
277,0,1,shall
278,0,1,https://t.co/a13jrSRJBq
279,0,2,much.
280,0,1,letter
281,0,1,olhos
282,0,1,https://t.co/Ti3iseLR2G
283,0,1,Ben's
284,0,1,stupid
285,0,1,Sofia
286,0,1,FACE
287,0,1,#HitEmWithTheHeim!
288,0,1,definitely
289,0,1,tech
290,0,1,https://t.co/I0WlVbpNvP
291,0,1,dos
292,0,1,came
293,0,1,RAINHA
294,0,1,https://t.co/cH2wEqT7Lv
295,0,3,nominated
296,0,1,ending
297,0,1,arrebentou
298,0,1,2.#LaMUDnoSirvePaUnCoño
299,0,1,né?
300,0,1,6.#ClosingCeremony
301,0,1,quieren
302,0,1,chora
303,0,1,LIVE
304,0,1,here's
305,0,1,Emmy???
306,0,2,folks
307,0,1,wearing
308,0,1,Issa
309,0,1,https://t.co/NzHY4JP03k
310,0,1,10:08:02
311,0,1,principalmente
312,0,1,https://t.co/h8dYaJXGTi
313,0,1,الـ
314,0,1,WON.
315,0,1,ECUADOR
316,0,1,https://t.co/6cf6zsLuWG
317,0,1,ومستر
318,0,1,"perdiendo,"
319,0,1,https://t.co/lesnblh1JS
320,0,1,Washington
321,0,2,acabou
322,0,1,Jesus...HANDSOME!!!!
323,0,2,@TeamTrump
324,0,1,MALEK!
325,0,1,https://t.co/Dha3TEwch3
326,0,1,PS:
327,0,2,Schumer
328,0,1,decided
329,0,1,https://t.co/SXHsbC3vCO
330,0,1,https://t.co/im7Zlbdfu2
331,0,2,John
332,0,1,https://t.co/XtpG3B0EHc
333,0,7,best
334,0,1,VTNC
335,0,1,matters.
336,0,1,https://t.co/sVYgBF2zL6
337,0,1,there's
338,0,1,sair
339,0,1,"Bell,"
340,0,1,➡
341,0,1,wears
342,0,1,ask
343,0,1,sera
344,0,1,https://t.co/HPQA05kN85
345,0,1,cut
346,0,1,JLo
347,0,1,Nylon
348,0,1,https://t.co/N3LVlB4fp2
349,0,1,uns
350,0,1,(GameofThrones)
351,0,1,falar
352,0,4,una
353,0,2,she's
354,0,1,lookin
355,0,1,@ernestbaker:
356,0,1,Breaking:
357,0,34,and
358,0,1,foram
359,0,1,@KevinSpacey...
360,0,1,"""Pennsatucky"""
