,batch,cluster_number,size
0,0,0,16
1,0,1,37
2,1,0,31
3,1,1,16
4,1,2,40
5,2,0,66
6,2,1,60
7,3,0,51
8,3,1,115
9,4,0,80
10,4,1,37
11,4,2,88
12,5,0,148
13,5,1,94
14,6,0,30
15,6,1,60
16,6,2,65
17,6,3,127
18,7,0,112
19,7,1,164
20,7,2,54
21,8,0,233
22,8,1,141
23,9,0,47
24,9,1,279
25,9,2,109
26,10,0,242
27,10,1,155
28,10,2,82
29,11,0,278
30,11,1,244
31,12,0,128
32,12,1,435
33,13,0,452
34,13,1,151
35,14,0,273
36,14,1,374
37,15,0,143
38,15,1,115
39,15,2,54
40,15,3,367
41,16,0,29
42,16,1,92
43,16,2,47
44,16,3,16
45,16,4,374
46,16,5,142
47,16,6,18
48,17,0,317
49,17,1,167
50,17,2,173
51,17,3,108
52,18,0,45
53,18,1,267
54,18,2,147
55,18,3,275
56,18,4,71
57,19,0,695
58,19,1,144
59,20,0,75
60,20,1,117
61,20,2,135
62,20,3,182
63,20,4,381
64,21,0,808
65,21,1,131
66,22,0,269
67,22,1,715
68,23,0,95
69,23,1,905
70,24,0,71
71,24,1,251
72,24,2,42
73,24,3,349
74,24,4,126
75,24,5,96
76,24,6,65
77,25,0,96
78,25,1,134
79,25,2,90
80,25,3,115
81,25,4,487
82,25,5,78
83,26,0,92
84,26,1,483
85,26,2,425
86,27,0,120
87,27,1,473
88,27,2,94
89,27,3,207
90,27,4,106
91,28,0,217
92,28,1,47
93,28,2,159
94,28,3,108
95,28,4,469
96,29,0,198
97,29,1,115
98,29,2,555
99,29,3,132
100,30,0,850
101,30,1,150
102,31,0,135
103,31,1,739
104,31,2,126
105,32,0,137
106,32,1,863
107,33,0,207
108,33,1,491
109,33,2,126
110,33,3,176
111,34,0,181
112,34,1,819
113,35,0,254
114,35,1,746
115,36,0,186
116,36,1,285
117,36,2,529
118,37,0,225
119,37,1,775
120,38,0,76
121,38,1,217
122,38,2,319
123,38,3,93
124,38,4,295
125,39,0,751
126,39,1,249
127,40,0,278
128,40,1,249
129,40,2,100
130,40,3,168
131,40,4,205
132,41,0,736
133,41,1,264
134,42,0,340
135,42,1,426
136,42,2,234
137,43,0,263
138,43,1,737
139,44,0,322
140,44,1,678
141,45,0,48
142,45,1,287
143,45,2,665
144,46,0,370
145,46,1,318
146,46,2,312
147,47,0,261
148,47,1,739
149,48,0,272
150,48,1,642
151,48,2,64
152,48,3,22
153,49,0,344
154,49,1,471
155,49,2,185
156,50,0,117
157,50,1,587
158,50,2,296
159,51,0,288
160,51,1,712
161,52,0,939
162,52,1,61
163,53,0,350
164,53,1,650
165,54,0,262
166,54,1,640
167,54,2,60
168,54,3,38
169,55,0,707
170,55,1,293
171,56,0,321
172,56,1,679
173,57,0,390
174,57,1,610
175,58,0,374
176,58,1,626
177,59,0,402
178,59,1,173
179,59,2,338
180,59,3,87
181,60,0,667
182,60,1,333
183,61,0,378
184,61,1,622
185,62,0,444
186,62,1,292
187,62,2,264
188,63,0,296
189,63,1,704
