,Clusters,RTs,Total_tweets,CumRT
0,2,47,100,47
1,3,66,200,113
2,2,61,300,174
3,2,60,400,234
4,3,61,500,295
5,2,63,600,358
6,4,60,700,418
7,3,52,800,470
8,2,56,900,526
9,3,39,1000,565
10,3,56,1100,621
11,2,57,1200,678
12,2,59,1300,737
13,2,60,1400,797
14,2,56,1500,853
15,4,68,1600,921
16,7,61,1700,982
17,4,53,1800,1035
18,5,60,1900,1095
19,2,66,2000,1161
20,5,49,2100,1210
21,2,51,2200,1261
22,2,55,2300,1316
23,2,52,2400,1368
24,7,44,2500,1412
25,6,47,2600,1459
26,3,47,2700,1506
27,5,55,2800,1561
28,5,41,2900,1602
29,4,47,3000,1649
30,2,51,3100,1700
31,3,47,3200,1747
32,2,46,3300,1793
33,4,41,3400,1834
34,2,42,3500,1876
35,2,47,3600,1923
36,3,45,3700,1968
37,2,43,3800,2011
38,5,44,3900,2055
39,2,45,4000,2100
40,5,46,4100,2146
41,2,48,4200,2194
42,3,41,4300,2235
43,2,45,4400,2280
44,2,40,4500,2320
45,3,48,4600,2368
46,3,50,4700,2418
47,2,51,4800,2469
48,4,46,4900,2515
49,3,49,5000,2564
50,3,53,5100,2617
51,2,55,5200,2672
52,2,47,5300,2719
53,2,51,5400,2770
54,4,44,5500,2814
55,2,47,5600,2861
56,2,46,5700,2907
57,2,59,5800,2966
58,2,53,5900,3019
59,4,55,6000,3074
60,2,57,6100,3131
61,2,51,6200,3182
62,3,56,6300,3238
63,2,60,6400,3298
64,2,57,6500,3355
65,2,59,6600,3414
66,2,61,6700,3475
67,3,55,6800,3530
68,2,61,6900,3591
69,2,58,7000,3649
70,2,53,7100,3702
71,3,55,7200,3757
72,3,62,7300,3819
73,2,60,7400,3879
74,2,66,7500,3945
75,5,56,7600,4001
76,2,59,7700,4060
77,3,57,7800,4117
78,2,62,7900,4179
79,2,65,8000,4244
80,2,63,8100,4307
81,2,56,8200,4363
82,2,63,8300,4426
83,2,52,8400,4478
84,2,66,8500,4544
85,3,60,8600,4604
86,2,62,8700,4666
87,4,63,8800,4729
88,2,61,8900,4790
89,2,54,9000,4844
90,4,59,9100,4903
91,3,58,9200,4961
92,3,64,9300,5025
93,2,56,9400,5081
94,2,53,9500,5134
95,2,61,9600,5195
96,2,55,9700,5250
97,2,64,9800,5314
98,2,59,9900,5373
99,2,52,10000,5425
100,4,49,10100,5474
101,3,65,10200,5539
102,4,59,10300,5598
103,2,64,10400,5662
104,2,67,10500,5729
105,3,66,10600,5795
106,2,55,10700,5850
107,3,53,10800,5903
108,2,64,10900,5967
109,2,59,11000,6026
110,2,63,11100,6089
111,3,71,11200,6160
112,3,60,11300,6220
113,4,60,11400,6280
114,2,59,11500,6339
115,3,66,11600,6405
116,2,64,11700,6469
117,2,65,11800,6534
118,3,66,11900,6600
119,2,64,12000,6664
120,2,73,12100,6737
121,2,76,12200,6813
122,2,67,12300,6880
123,2,57,12400,6937
124,3,64,12500,7001
125,2,66,12600,7067
126,2,67,12700,7134
127,4,71,12800,7205
128,3,71,12900,7276
129,3,68,13000,7344
130,3,71,13100,7415
131,2,71,13200,7486
132,3,77,13300,7563
133,3,70,13400,7633
134,3,73,13500,7706
135,2,66,13600,7772
136,4,71,13700,7843
137,2,76,13800,7919
138,3,78,13900,7997
139,2,65,14000,8062
140,2,75,14100,8137
141,2,70,14200,8207
142,2,64,14300,8271
143,2,71,14400,8342
144,2,59,14500,8401
145,3,64,14600,8465
146,3,62,14700,8527
147,3,70,14800,8597
148,2,63,14900,8660
149,2,62,15000,8722
150,4,73,15100,8795
151,2,77,15200,8872
152,2,64,15300,8936
153,2,74,15400,9010
154,6,67,15500,9077
155,3,74,15600,9151
156,4,73,15700,9224
157,5,69,15800,9293
158,2,69,15900,9362
159,3,69,16000,9431
160,3,71,16100,9502
161,2,75,16200,9577
162,2,77,16300,9654
163,5,75,16400,9729
164,4,65,16500,9794
165,2,66,16600,9860
166,2,73,16700,9933
167,4,83,16800,10016
168,3,77,16900,10093
169,7,70,17000,10163
170,3,66,17100,10229
171,5,75,17200,10304
172,3,78,17300,10382
173,2,70,17400,10452
174,2,79,17500,10531
175,3,73,17600,10604
176,3,75,17700,10679
177,3,82,17800,10761
178,3,72,17900,10833
179,3,71,18000,10904
180,2,72,18100,10976
181,4,64,18200,11040
182,3,74,18300,11114
183,2,76,18400,11190
184,2,78,18500,11268
185,2,78,18600,11346
186,2,82,18700,11428
187,5,83,18800,11511
188,4,82,18900,11593
189,3,77,19000,11670
190,2,82,19100,11752
191,2,77,19200,11829
192,2,84,19300,11913
193,3,81,19400,11994
194,3,69,19500,12063
195,3,76,19600,12139
196,2,74,19700,12213
197,2,77,19800,12290
198,2,85,19900,12375
199,3,75,20000,12450
200,2,75,20100,12525
201,4,73,20200,12598
202,2,73,20300,12671
203,2,77,20400,12748
204,2,73,20500,12821
205,2,78,20600,12899
206,3,67,20700,12966
207,2,69,20800,13035
208,2,68,20900,13103
209,2,76,21000,13179
210,2,70,21100,13249
211,2,79,21200,13328
212,2,75,21300,13403
213,2,76,21400,13479
214,2,78,21500,13557
215,2,85,21600,13642
216,2,74,21700,13716
217,3,79,21800,13795
218,4,77,21900,13872
219,2,81,22000,13953
220,2,81,22100,14034
221,3,73,22200,14107
222,3,81,22300,14188
