,geo,screen_name,text,tweet_id,cluster_pred
0,,Lemonhead4380,"I cannot be the only one who couldn't get over how orange Claire Dane's spray tan was, right? #Emmys",777734124907929600,1
1,,americcangirl,MEU DEUS SÉRIO QUE  TATI GANHOU GENTE???? EU TÔ MT FELIZ POR ELA AÍ EHWHWJWJ EU TAVA NERVOSA HJ ELA MERECE DEMAIS ELA É TODO MUNDO #Emmys,777734126128496640,1
2,,lungtawellness,"OMGGGGGGG !!!!!!

#CloneClub #TatianaMaslany #OrphanBlack #Sestras #Emmys @OrphanBlack
#GoCanadaGo 🇨🇦⭐️💫

https://t.co/cjFfFga6i4",777734127101632512,0
3,,RoninMemes,"I am literal livestock. And so are you. This is the story of your enslavement:
https://t.co/0CGDAqzv6X #Emmys",777734127936122884,1
4,,vulture,Presenting your complete list of #Emmys winners: https://t.co/oBC51UW5Tq https://t.co/RHAXosn2Zx,777734127751684096,1
5,,auded__,"J'ai même pas regardé les autres résultats ahaha, juste Tatiana alors c'est pour dire ! #Emmys",777734128913485825,0
6,,TheDanBarrett,Where to watch #Emmys winning shows in Australia. https://t.co/CRZeq9lKQ4 https://t.co/UgUaEsJAJ5,777734130092027904,1
7,,icanpictureit,congrats Rami ! @ItsRamiMalek knew you were headed for this moment when I first saw Mr. Robot. well done! https://t.co/wn3249F9jX,777734131048341505,0
8,,BrixStones,❤ https://t.co/3VTklFmRSy,777734132889563136,1
9,,DrtXia,I am so excited to attend Emmy Awards #Emmys https://t.co/lzCU44ZG7T,777734132549812225,1
10,,CrazyDreamy1,Los  #Emmys cada año sólo sirven para agregar series que ver en mi ya larga lista de series 😪,777734139470417920,1
11,,TrendTopicsBra,"Campinas 
1 #Emmys
2 #ThisIsNotTheEndOfOneDirection
3 #ThatsMyGirlTODAY
4 Camila Pitanga
5 #AnittaNoMultishow https://t.co/0W9sqSWUzX",777734140464549888,1
12,,GayMoonQueen,Tonight's #Emmys were great for diversity &amp; amazing for gay women... #LoveIsLove https://t.co/s9yYLuwEbg,777734138895884290,1
13,,newsadmin,"21 years after not guilty verdict, actors who portrayed OJ Simpson's prosecutors win #Emmys. … https://t.co/ctpEGT5cAK",777734142121443329,0
14,,8mileroad_,"شاهد

الفيديو الفاضح للصهاينة ال سعود

https://t.co/ZPWCKEHlC5

#اروع_ما_تراه_عينك
#الله_لو_
#وزع_وظايف_للمغردين
#Emmys
#الجبير_يلجم_ظريف",777734143195115520,1
15,,jemskincaresyst,".@MsSarahPaulson dedicated her #Emmys win to her guest, @thatmarciaclark: https://t.co/LqM5VvpEwJ #Emm... by @voguemagazine via @c0nvey",777734143639683072,0
16,,tryingbrevity,Tatiana Maslany unable to attend Emmys; sends clone to collect award. #Emmys,777734144612642816,0
17,,GabissMelo,👏👏👏 https://t.co/gUUPjKJPjP,777734143945871364,0
18,,ShtPaperBrand,TRUMP #WINNING BABY !! https://t.co/YC1VTDB4eQ @ #GoKnowControl #ThatsMyGirlTODAY #Emmys #HILLARYSUCKS = #LOSING TO #TRUMP2016 #POLLS #SEO @,777734144348397568,1
19,,Lou_Premadonna,I love her 😍😭 https://t.co/HMzfjVD7YX,777734143899799552,1
20,,KyleyWolff,Duh https://t.co/X9cH6u4yFA,777734145275465728,0
21,,EmiliaClarkeTM,Emilia Clarke posando junto con el resto del elenco de Juego de Tronos en la alfombra roja de los #Emmys. (2/2) https://t.co/nM3J1PTicB,777734144176644096,1
22,,amithrichard,#GameofThrones wins 12 #Emmys. #GoT https://t.co/oaN3OQgeB9,777734151348686848,1
23,,indieLINDSEY,THIS 👏 IS 👏 EVERYTHING 👏 #emmys #KathrynHahn https://t.co/wYnYmqD2e3,777734150836981760,1
24,,Virgieee_Virg,#Emmys #Emmys #Emmys,777734152598630400,1
25,,mmeriividaal,💔💔💔💔💔💔💔💔💔 https://t.co/KmS5yOKa1N,777734154616176640,1
26,,CarolinaErickk,While yall mentioning Lemonade retweet her home 😇😇😇😇😇😇😇😇#Emmys https://t.co/y9yMHekBtF,777734154125471744,1
27,,rockoxygen,"CHI HA VINTO??
#Emmys",777734155354443777,1
28,,EricaHaert,Congrats to #GameofThrones on all them #Emmys !!! #WinterIsHere,777734156621078528,0
29,,emilaquino,YESSSSSSSSS FINALLY 😄👏 https://t.co/rEXwdiZBFC,777734159116537856,1
30,,julia2dope4u,!!!! AMY YES BRING BACKS PARKS AND REC PLS https://t.co/p5emZOJ2WC,777734159271759872,0
31,,MACSCORPION,The Big Business Of Red Carpet Bling https://t.co/WjEk6Otwsq #Emmys https://t.co/LTvQ1NWtxv,777734159657734145,1
32,,026Martinez,"#Emmys = @GameOfThrones 
BEST SERIES EVER!!! https://t.co/119oLk8Kid",777734162744745984,1
33,,LaDeziree,La plus ca change https://t.co/n3fYIyynMO,777734164355231745,1
34,,alisemorales91,"b14
#اروع_ما_تراه_عينك
#الله_لو_
#وزع_وظايف_للمغردين
#Emmys https://t.co/30TTljbeGI",777734165269770240,1
35,,Skyliting,"Robot Chicken? SERIOUSLY?!  

https://t.co/Ko5HNiM65G",777734168318967808,1
36,,StrangerTArg,#StrangerThings no estuvo nominado para nada en los #Emmys ya que se estreno despues de cerrar nominaciones. https://t.co/Kofa3wI21R,777734171439620096,1
37,,sYardenS,"glad to hear about Tatiana! She totally deserve that! ❤❤ #Emmys #EmmyForMaslany 
And Good morning✌",777734172769124352,0
38,,Louda,RAMI! &lt;3 #MrRobot #TheBest #Emmys https://t.co/5FKFiaw3zt,777734172022546432,0
39,,7ACKattack,Kristen Bell had zee best dress of zee night! #Emmys,777734173817577473,1
40,"[34.0522, -118.243]",mokarimstar,"Emmys 2016 
من حفل توزيع جوائز الايميز .
#ايميز #لوس_انجلوس 
#محمد_كريم 
#Emmys #Emmysawards… https://t.co/vbdFKU9wkr",777734173779951616,1
41,,AppleShowbiz,Taraji P. Henson brings the sex appeal in canary yellow dress #Emmys https://t.co/5GmabrGTRn https://t.co/R6hymmeSxn,777734174501433344,1
42,,WolfsonWorld,Yeah #TatianaMaslany  a talented and lovely person. https://t.co/Q1ivxCCuWj,777734176892030977,1
43,,ZareenOfficial,Gorgeous..😍... #Emmys https://t.co/VBmoB07nAS,777734178339168257,1
44,,soyelcaru,"Mi virginidad por ser uno de ellos, o ya de perdis ser el Demogorgon para estar cerca de ellos, ¡Son tan Geniales! https://t.co/PWenlW7vGF",777734179467382784,1
45,,RosemariePolin2,#GameOfThrones took over the 2016 #Emmys! Find out which awards they won here: https://t.co/GVqRf0tMWW by @rapplerdotcom via @c0nvey,777734179547152384,1
46,,Cachuchitamia,"Ganadores, anécdotas y ¿Beyoncé? Todos los momentazos de los #Emmys , en un clic https://t.co/dpOukLqfHL https://t.co/rxeEuXBahm",777734180910268416,1
47,,rahafalassiri_,اتفقق https://t.co/etlnBzTmIf,777734183166808065,1
48,,FrauWeibsvolk,Uhhh... #Sherlock hat gewonnen. Dabei war diese Folge gar nicht so toll. Finde ich ;) https://t.co/OulsEKtbi3,777734184492208128,1
49,,CachuchaChucha,"#MilenioAlMomento | Bienvenidos a la fiesta oficial de los  #Emmys, aquí están todas las estrellas Vía AlvaroCueva https://t.co/zczdya6OcQ",777734186488782848,1
50,,itis4tom,Rami Malek of 'Mr. Robot' can't believe his #Emmys win! https://t.co/yabxhsYQPW by @mashable,777734189231792129,0
51,,NompiloGwala,🔥🔥🔥😍😍😍 https://t.co/jDPS02AQDI,777734190653698050,1
52,,irenecarbajo,Continúa la espinita clavada de Peter 😢 eso sí y enhorabuena a La batalla de los Bastardos (era difícil ganar a eso) #Emmys,777734193480630272,1
53,,theartistdreams,"Coming out as ""progressive"" in Hollywood is the opposite of bravery: conformity. https://t.co/1ZY0VACxgR",777734195070152704,1
54,,OvniMdp,"Soy un apasionado de #GameofThrones. 
Cada temporada hablamos de un episodio épico, se supera a sí misma! #Emmys https://t.co/MkxsBATKlM",777734194273329152,0
55,,NotoriousMei,🔥🔥 https://t.co/siscsWvt21,777734196714467328,1
56,,TyranasrrusLex,"*Eleven doesn't say anything to Ross*
Ross: WE WERE ON A BREAK https://t.co/OfPE6MDXcr",777734199193145345,1
57,,VaticanCame0,HBIC cant have a day off. Who needs a village when Maggie is around? https://t.co/Ib7J0pm0dm,777734200854052864,1
58,,flumesmusic,good. https://t.co/io8pOY2i4X,777734201416097792,1
