,Cluster,Count,User
0,0,1,Darren32895836
1,0,1,april_gable
2,0,1,DonaldT4Prez
3,0,1,M_2_the_T
4,0,2,Flipidy
5,0,2,tedscott4
6,0,1,zyndajm
7,0,2,BostieTweets
8,0,1,0157
9,0,1,twiez07
10,0,1,WildesDr
11,0,1,StaciLMorrison
12,0,1,StormtrooperZeb
13,0,1,GaltsGultch
14,0,1,neezy_sam
15,1,1,ZombifiedZaerr
16,1,1,ThisSling
17,1,1,rayshaunagray
18,1,1,jello_SHAHts
19,1,1,NattieCar
20,1,1,jennybookseller
21,1,1,kchamomile
22,1,1,Raymon424
23,1,1,RepublicofTrump
24,1,1,VENUSlMA
25,1,1,__nrgy
26,1,1,msblackGirlUSA
27,1,1,Scoztastic
28,1,1,dinky_sports
29,1,1,ralphshields313
30,1,2,Defiler_Wyrm
31,1,1,__snatched
32,1,1,RogerMichaelPat
33,1,2,KingJohnLove
34,1,1,KarloLibed
35,1,1,Joseph_McC
36,1,1,ionnifdiuiodf
37,1,1,sparks1017
38,1,1,alyrog
39,1,1,gitm000110
40,1,1,TTMobile_ca
41,1,1,Yellowbuizel
42,1,1,WrightAaronM
43,1,2,LibsWantMeDead
44,1,2,shivashaktam
45,1,1,TideOfFools
46,1,1,Favstar_Bot
47,1,1,CurlyMishap
48,1,1,A2ZPlus1
49,1,2,thecalebchin
50,1,1,shadowwraiths
51,1,2,HowBoutDemOsHon
52,1,1,TrendTopicsLa
53,1,1,ZahraTahirah
54,1,4,UrbanLeather01
55,1,1,NickersFpdx
56,1,1,Lady_Sappho
57,1,1,TheWilliamHaven
58,1,1,BostieTweets
59,1,1,kadyalexis
60,1,1,FromNoWhere97
61,1,1,StephanoHorse
62,1,1,ohitsbarbara
63,1,1,rob_squad
64,1,1,GlenninVirginia
65,1,1,RubinReport
66,1,1,liberty4meplz
67,1,1,ArleneDMoss
68,1,2,tonygoldmark
69,1,1,Ayo_Lando_
70,1,1,MrFukUrFeelin_s
71,1,1,LexAlexander
72,1,1,Cloudbeginner
73,1,1,J_glason
74,1,1,bankatronic1
75,1,2,JosephScientist
76,1,1,SpenceLarson
77,1,1,wellflow1
78,1,1,GabeInnecco
79,1,1,MAGAgoyim
80,1,1,enderFP
81,1,1,Allayjah
82,1,1,DomesticLiberty
83,1,1,PoCBeauty
84,1,1,Dreamweasel
85,1,1,victorbreaux
86,1,1,JetSettingJ
87,1,1,JLAwatchtower
88,1,1,_Valdexs
89,1,1,TheEvverymann
90,1,2,blackbear93
91,1,1,treythetruth213
92,1,1,NCguera
93,1,1,frontensembIe
94,1,1,KarmaWolff
95,1,2,TheHashtagGame
96,1,1,King_Ejaee
97,1,1,JoshWendland1
98,1,3,utsadeli
99,1,1,m_scolari_III
100,1,1,RobShelburne
101,1,1,Go_Pinkey
102,1,1,pRESIDENT_ALIEN
103,1,1,BEWHallend
104,1,1,Pakka1212
105,1,1,Jolade_
106,1,1,USA1stAlways
107,1,1,redcricketblog
108,1,1,inaneframe
109,1,3,Arkansans4Hill
110,1,1,JohnJavis
111,1,1,ChaosMidge
112,1,1,nomerywuwoh
113,1,1,realJKCallaway
114,1,1,JoeUnfiltered
115,1,1,cqbrui
116,1,1,TTMobile_us
117,1,1,WillieBangg
118,1,1,CarlLately
119,1,2,EndPCSociety
120,1,1,FatManSupreme63
121,1,1,0ld_Bones
122,1,1,TrendTopicsUSA
123,1,1,idhstg
124,1,1,tanyewest21
125,1,1,Valyss2
126,1,1,T56Ze
127,1,1,1bublove
128,1,1,umreese
129,1,1,khara_withanh
130,1,1,seymourmusic
131,2,1,mderbecker
132,2,1,Patrick_Wool95
133,2,2,TipUSNavy
134,2,1,atleasttim
135,2,2,kchamomile
136,2,1,RepublicofTrump
137,2,1,TheTweetest
138,2,1,EliasSiqueiros
139,2,1,1812x
140,2,1,Create_Opinions
141,2,1,cmclymer
142,2,1,AZhummerH2
143,2,1,Casual_Rick
144,2,1,ajm510
145,2,1,DaPerkyPoet
146,2,1,EndPCSociety
147,2,1,gregoryvanloan
148,2,1,micahsgrrl
149,2,1,MichaelNiewidok
150,2,1,mike_smith267
151,2,1,TheWilliamHaven
152,2,1,The_Dr_Robert
153,2,1,shawlarryjr
154,2,1,VonSpeedy
155,2,1,samueldeuth
156,2,1,FromNoWhere97
157,2,1,Markos_Anderson
158,2,1,alexthesilva
159,2,2,ZakKondratenko
160,2,1,EmkayMLP
161,2,1,ambushvin
162,2,1,cmdrdbleagle
163,2,1,LibsWantMeDead
164,2,1,TheMikePadilla
165,2,1,RebeccaGriffin1
166,2,1,Yusima_Sideboob
167,2,1,TommySkywlker11
168,2,1,binaryagent
169,2,1,VictoriaLane
170,2,1,NatWillOwen
171,2,1,mermistia
172,2,1,Raymond_Fed
173,2,1,DrewyKing
