,Cluster,Count,Word
0,0,1,woridstarvlde0s
1,0,1,w0rldstarcomedy
2,0,21,cloudn9nesyrup
3,0,8,daiiyroasts
4,0,1,htt
5,0,1,woridstarvide0s
6,0,125,stealing
7,0,1,woridstarvldeos
8,0,124,rape
9,0,125,rt
10,0,125,20
11,0,24,worldstarc0medy
12,0,12,seanmcelwee
13,0,1,funnyworidstar
14,0,25,https
15,0,125,prison
16,0,125,worth
17,0,1,ra
18,0,22,woridstarhiph0p
19,0,125,selling
20,0,125,howtoconfuseamillennial
21,0,26,ht
22,0,125,weed
23,0,125,candy
24,0,19,woridstarhiphop
25,0,4,w0rldstarc0medy
26,0,125,time
27,0,5,rldiculousness
28,0,125,spend
29,0,5,hoodbibie
30,1,136,replace
31,1,181,market
32,1,135,tvscarlkinsella
33,1,180,rt
34,1,1,gig
35,1,45,millennials
36,1,45,timcast
37,1,181,housing
38,1,1,labor
39,1,45,environment
40,1,135,hou
41,1,1,https
42,1,271,destroy
43,1,136,tell
44,1,135,internships
45,1,45,economy
46,1,1,real
47,1,135,buy
48,1,136,jobs
49,1,1,howtopissoffalateboomer
50,1,180,howtoconfuseamillennial
51,1,1,9v9soqb2i8
52,1,1,work
53,1,1,harder
54,1,135,unpaid
55,1,135,grad
56,2,1,limited
57,2,1,napvo4sxyr
58,2,3,onceuponalynch_
59,2,1,jessiejaneduff
60,2,1,protest
61,2,1,8bawbxjxfi
62,2,1,captain
63,2,16,hate
64,2,1,consider
65,2,2,afloodofblood
66,2,3,waladshami
67,2,1,fudg3mckbc
68,2,6,spew
69,2,15,tweet
70,2,1,rescue
71,2,4,costume
72,2,1,jackpellseven7
73,2,1,gh8imi3bw1
74,2,14,school
75,2,2,snowflakes
76,2,1,goidksyicq
77,2,5,companies
78,2,1,relentlessly
79,2,1,phonebook
80,2,3,czerrr
81,2,1,nostradamnisuck
82,2,1,bruvsp
83,2,2,enjoy
84,2,1,6hsujbdxg9
85,2,6,phones
86,2,1,direct
87,2,1,onesarahjones
88,2,1,tires
89,2,1,likely
90,2,2,machines
91,2,31,darren32895836
92,2,1,ronny_theg
93,2,1,hide
94,2,1,wreck
95,2,11,fingers
96,2,1,sexuality
97,2,2,reconstruction
98,2,3,new
99,2,1,disney
100,2,1,told
101,2,4,unmotivated
102,2,1,simultaneously
103,2,1,nby9kgtvxf
104,2,2,riiiiiight
105,2,1,spiecies
106,2,1,socialize
107,2,3,lgbt
108,2,1,100
109,2,1,101
110,2,1,bar7ybmrlu
111,2,1,luther
112,2,41,kids
113,2,8,libsnofun
114,2,1,economics
115,2,5,sjw
116,2,1,ignoring
117,2,1,aka
118,2,2,pensvsswords
119,2,1,grandkids
120,2,1,emma_cueto
121,2,1,5j14ir5z0h
122,2,6,campaign
123,2,6,sundayfunday
124,2,6,feelings
125,2,1,brought
126,2,4,jackets
127,2,1,thelordhasspoke
128,2,1,ywls
129,2,1,platinumjones
130,2,2,plot
131,2,1,marketers
132,2,1,d3xdloml6o
133,2,1,charleyedgar97
134,2,6,music
135,2,1,card
136,2,69,t56ze
137,2,8,s1xv2einjz
138,2,303,tell
139,2,1,howtoconfuseamill
140,2,1,hillarys
141,2,1,posting
142,2,2,successful
143,2,1,expose
144,2,1,ascribe
