,batch,cluster_number,size
0,0,0,4
1,0,1,9
2,1,0,3
3,1,1,7
4,1,2,12
5,1,3,1
6,1,4,1
7,2,0,32
8,2,1,5
9,3,0,19
10,3,1,29
11,3,2,2
12,4,0,11
13,4,1,20
14,4,2,27
15,5,0,27
16,5,1,46
17,6,0,67
18,6,1,21
19,7,0,39
20,7,1,2
21,7,2,60
22,8,0,19
23,8,1,98
24,9,0,121
25,9,1,8
26,10,0,21
27,10,1,122
28,11,0,46
29,11,1,78
30,11,2,28
31,12,0,71
32,12,1,43
33,12,2,50
34,13,0,105
35,13,1,68
36,14,0,42
37,14,1,53
38,14,2,28
39,14,3,62
40,15,0,47
41,15,1,152
42,16,0,46
43,16,1,168
44,17,0,155
45,17,1,75
46,18,0,56
47,18,1,71
48,18,2,114
49,19,0,120
50,19,1,130
51,20,0,67
52,20,1,200
53,21,0,145
54,21,1,134
55,22,0,58
56,22,1,125
57,22,2,108
58,23,0,124
59,23,1,176
