,Cluster,Count,User
0,0,1,samueldeuth
1,0,1,rayshaunagray
2,0,1,atleasttim
3,0,3,kchamomile
4,0,1,__nrgy
5,0,1,Scoztastic
6,0,1,dinky_sports
7,0,1,taylorgibson_3
8,0,1,RogerMichaelPat
9,0,1,KingJohnLove
10,0,1,StormtrooperZeb
11,0,1,BrainGoblin
12,0,1,alyrog
13,0,1,gitm000110
14,0,1,TTMobile_ca
15,0,1,mike_smith267
16,0,1,TheWilliamHaven
17,0,3,LibsWantMeDead
18,0,1,shawlarryjr
19,0,2,shivashaktam
20,0,1,TideOfFools
21,0,1,CurlyMishap
22,0,2,thecalebchin
23,0,4,UrbanLeather01
24,0,1,twiez07
25,0,1,WildesDr
26,0,2,FromNoWhere97
27,0,1,StephanoHorse
28,0,1,alexthesilva
29,0,1,GlenninVirginia
30,0,2,Flipidy
31,0,1,tonygoldmark
32,0,1,TommySkywlker11
33,0,1,bankatronic1
34,0,1,Darren32895836
35,0,1,JosephScientist
36,0,1,SpenceLarson
37,0,1,wellflow1
38,0,1,GabeInnecco
39,0,1,enderFP
40,0,3,BostieTweets
41,0,1,KawlunDram
42,0,2,FashyTay
43,0,1,TheEvverymann
44,0,1,april_gable
45,0,1,zyndajm
46,0,1,Create_Opinions
47,0,1,__snatched
48,0,1,TylerWeibe82
49,0,1,J_glason
50,0,1,m_scolari_III
51,0,1,NatWillOwen
52,0,2,Go_Pinkey
53,0,1,Pakka1212
54,0,1,USA1stAlways
55,0,1,inaneframe
56,0,1,cocosbentmind
57,0,1,treythetruth213
58,0,1,DonaldT4Prez
59,0,1,djackmanson
60,0,1,WillieBangg
61,0,1,FatManSupreme63
62,0,1,MIC_Partners
63,0,1,0ld_Bones
64,0,1,TrendTopicsUSA
65,0,1,georgeduff2
66,0,1,Patrick_Wool95
67,0,1,amethystwhips
68,0,1,1bublove
69,0,1,umreese
70,0,1,seymourmusic
71,0,1,Eddie_Doug
72,0,1,ZombifiedZaerr
73,0,1,jennybookseller
74,0,2,RepublicofTrump
75,0,1,TheTweetest
76,0,1,1812x
77,0,1,Defiler_Wyrm
78,0,1,cmclymer
79,0,1,AZhummerH2
80,0,1,ionnifdiuiodf
81,0,1,sparks1017
82,0,2,EndPCSociety
83,0,1,gregoryvanloan
84,0,1,TTMobile_us
85,0,1,A2ZPlus1
86,0,1,Raymond_Fed
87,0,1,Yellowbuizel
88,0,1,The_Dr_Robert
89,0,1,DomesticLiberty
90,0,1,MichaelNiewidok
91,0,1,Allayjah
92,0,1,redcricketblog
93,0,1,Lady_Sappho
94,0,1,kadyalexis
95,0,1,Markos_Anderson
96,0,1,liberty4meplz
97,0,1,binaryagent
98,0,1,RebeccaGriffin1
99,0,1,Ayo_Lando_
100,0,1,ffootballfan123
101,0,1,Cloudbeginner
102,0,1,GaltsGultch
103,0,1,mermistia
104,0,1,DrewyKing
105,0,1,ArleneDMoss
106,0,1,walruslifestyle
107,0,1,Dreamweasel
108,0,1,JLAwatchtower
109,0,1,SpringCurls
110,0,2,blackbear93
111,0,1,NCguera
112,0,1,Sean_A_Foster
113,0,1,jello_SHAHts
114,0,1,ralphshields313
115,0,1,Mrforestmoon
116,0,1,King_Ejaee
117,0,1,Mars_Gilda
118,0,1,TRIPPositivitY
119,0,1,ohitsbarbara
120,0,1,psgamer92
121,0,1,Jolade_
122,0,3,Arkansans4Hill
123,0,1,ChaosMidge
124,0,1,TheJivemaster
125,0,1,nomerywuwoh
126,0,1,realJKCallaway
127,0,1,JoeUnfiltered
128,0,1,Mikeformovies
129,0,1,micahsgrrl
130,0,1,JoelDWeintraub
131,0,1,flossclarke
132,0,1,ajm510
133,0,1,tanyewest21
134,0,1,RobShelburne
135,0,1,dukect
136,0,1,T56Ze
137,0,1,RachMayo4
138,0,1,khara_withanh
139,1,1,mderbecker
140,1,1,JosephScientist
141,1,1,ThisSling
142,1,1,MAGAgoyim
143,1,1,NattieCar
144,1,1,Raymon424
145,1,1,TheMikePadilla
146,1,1,PoCBeauty
147,1,1,msblackGirlUSA
148,1,1,victorbreaux
149,1,1,JetSettingJ
150,1,1,EliasSiqueiros
151,1,2,Defiler_Wyrm
152,1,1,_Valdexs
153,1,1,Casual_Rick
154,1,1,april_gable
155,1,1,KingJohnLove
156,1,1,KarloLibed
157,1,1,Joseph_McC
158,1,1,frontensembIe
159,1,1,idhstg
160,1,1,KarmaWolff
161,1,1,DaPerkyPoet
162,1,1,EndPCSociety
163,1,2,TheHashtagGame
164,1,1,hannahdupontyo
165,1,1,LexAlexander
166,1,1,JoshWendland1
167,1,1,WrightAaronM
168,1,1,cmdrdbleagle
169,1,1,Favstar_Bot
170,1,1,pRESIDENT_ALIEN
171,1,1,BEWHallend
172,1,1,VonSpeedy
173,1,1,CarlLately
174,1,2,HowBoutDemOsHon
175,1,1,TrendTopicsLa
176,1,1,ZahraTahirah
177,1,1,NickersFpdx
178,1,1,JohnJavis
179,1,1,TheWilliamHaven
180,1,1,BostieTweets
181,1,1,RubinReport
182,1,2,TipUSNavy
183,1,1,StaciLMorrison
184,1,1,AustinBramble
185,1,1,rob_squad
186,1,1,cqbrui
187,1,2,ZakKondratenko
188,1,1,EmkayMLP
189,1,1,shadowwraiths
190,1,1,ambushvin
191,1,3,utsadeli
192,1,1,M_2_the_T
193,1,2,tedscott4
194,1,1,tonygoldmark
195,1,1,Yusima_Sideboob
196,1,1,MrFukUrFeelin_s
197,1,1,0157
198,1,1,VENUSlMA
199,1,1,Valyss2
200,1,1,VictoriaLane
201,1,1,neezy_sam
