,Cluster,Count,Word
0,0,1,What
1,0,1,#GameDay
2,0,2,VIEW:
3,0,1,years
4,0,1,using
5,0,1,design.Keep
6,0,1,"recall"""
7,0,1,Watch
8,0,3,3
9,0,1,Obama's
10,0,1,black
11,0,1,4
12,0,1,World
13,0,1,Haven
14,0,1,giants
15,0,1,do
16,0,1,them
17,0,1,https://t.co/ZwyfK8owfr
18,0,1,Ask
19,0,9,#HowToConfuseAMillennial
20,0,1,one.
21,0,1,they
22,0,1,not
23,0,1,during
24,0,1,Clemson
25,0,2,ppl
26,0,2,complain
27,0,1,becoming.
28,0,1,Bravo!
29,0,1,Sam
30,0,1,companies
31,0,1,50
32,0,1,opposition!
33,0,2,JACKETS
34,0,1,#PAXWest
35,0,1,@VagueZen
36,0,1,Chubb
37,0,1,"think,"
38,0,1,see
39,0,1,are
40,0,1,Which
41,0,1,New
42,0,1,"Hell,"
43,0,1,even
44,0,2,what
45,0,1,trending
46,0,1,federal
47,0,1,since
48,0,1,time.
49,0,1,Hurts
50,0,3,it
51,0,1,https://t.co/RcKHM4smdy
52,0,1,participation
53,0,1,Protestant
54,0,1,#MillennialLogic
55,0,1,Work
56,0,2,&amp;
57,0,2,by
58,0,2,about
59,0,1,Clinton
60,0,1,world
61,0,3,of
62,0,1,US
63,0,1,thing
64,0,1,"poor,poor&amp;blame"
65,0,1,90%
66,0,1,#ThePinkprintFreestyle
67,0,1,neglect
68,0,1,https://t.co/m1o4NT7r9X
69,0,1,Ethic
70,0,1,own
71,0,1,dont
72,0,1,https://t.co/OvYj3B8MQd
73,0,1,It's
74,0,1,ME.
75,0,1,confuse
76,0,1,Two
77,0,1,owned
78,0,1,Soria
79,0,1,https://t.co/lsSg6ty69z
80,0,1,Nick
81,0,1,actually
82,0,1,drove
83,0,1,War
84,0,1,use
85,0,1,https://t.co/lFMEMNgFMG
86,0,1,would
87,0,1,it's
88,0,1,been
89,0,1,2
90,0,2,6
91,0,1,fought
92,0,1,was
93,0,1,today
94,0,2,COSTUME
95,0,1,Bradford
96,0,3,that
97,0,1,https://t.co/4ahSetcStu
98,0,2,N
99,0,1,Millennials
100,0,1,hear
101,0,1,hashtag
102,0,1,https://t.co/j3zygqXB1I
103,0,1,#Hermine
104,0,1,keeping
105,0,1,14
106,0,1,😒😒😒
107,0,2,this
108,0,1,Seriously
109,0,1,while
110,0,1,can
111,0,1,NW
112,0,3,is
113,0,1,investigation?
114,0,1,fuck
115,0,1,an
116,0,1,say
117,0,2,in
118,0,1,as
119,0,2,media
120,0,1,"""I"
121,0,1,40
122,0,1,1
123,0,1,5
124,0,1,answer
125,0,1,you
126,0,1,https://t.co/oZGcvptBHN
127,0,1,medals
128,0,2,https://t.co/LDKe11fUpa
129,0,1,all
130,0,2,I
131,0,2,who
132,0,1,said
133,0,1,#JustCantWaitFor
134,0,1,"80s,"
135,0,1,a
136,0,1,Las
137,0,1,excuse
138,0,1,Describe
139,0,1,&lt;---
140,0,1,so
141,0,1,it;thus
142,0,1,Jalen
143,0,1,Vegas
144,0,7,the
145,0,1,https://t.co/Yp32IR4uIT
146,0,1,https://t.co/ZwE1Z7gMAg
147,0,1,know
148,1,1,Everybody
149,1,2,liked
150,1,1,United
151,1,1,don't
152,1,4,450
153,1,1,Two
154,1,1,one.
155,1,1,https://t.co/yLEREjBSvL
156,1,1,down.
157,1,1,go
158,1,1,find
159,1,2,people.
160,1,1,Play
161,1,1,home;
162,1,2,tweet
163,1,1,"anti-vaxxers,"
164,1,1,question
165,1,2,been
166,1,1,winning
167,1,2,to
168,1,1,2
169,1,1,call
170,1,1,4
171,1,1,https://t.co/N0aYiLhYlo
172,1,1,#samanata
173,1,2,has
174,1,1,more
175,1,1,guns.
176,1,1,then
177,1,2,them
178,1,1,good
179,1,3,with
180,1,1,Bad
181,1,3,#HowToConfuseAMillennial
182,1,1,😩
183,1,1,than
184,1,1,#MolonLabe
185,1,1,:D
186,1,1,https://t.co/gznz8bDznj
187,1,1,settle
188,1,1,stopped
189,1,1,either
190,1,1,https://t.co/Rtg9zm2HCD
191,1,1,nice
192,1,2,Your
193,1,1,at
194,1,2,and
195,1,1,bigmacher
196,1,1,people
197,1,1,is
198,1,1,we
199,1,1,https://t.co/7FgAlPh5Vo
200,1,1,blessing..
201,1,1,are
202,1,2,have
203,1,2,Tell
204,1,1,3rd
205,1,1,https://t.co/UaCqrJTtSU
206,1,2,❤️s!
207,1,1,País
208,1,1,your
209,1,1,1
210,1,1,3
211,1,1,mate
212,1,1,footsie
213,1,1,#NASCARThrowback
214,1,1,you
215,1,1,Republican
216,1,1,guns
217,1,1,can
218,1,1,unreasonable.
219,1,1,be
220,1,1,@bigmacher
221,1,1,do
222,1,1,any
223,1,1,who
224,1,1,Democrat
225,1,1,much
226,1,1,chance
227,1,1,Marriage
228,1,1,#JustCantWaitFor
229,1,1,#samanata_id
230,1,2,guys
231,1,3,by
232,1,5,a
233,1,1,#howtoconfuseamillennial
234,1,1,of
235,1,1,age
236,1,1,States
237,1,1,winner
238,1,1,https://t.co/UITJ7NVvU7
239,1,1,Parties
240,1,1,#ThePinkprintFreestyle
241,1,1,https://t.co/ZKoYwK4Ac1
242,1,1,or
