,batch,cluster_number,size
0,0,0,8
1,0,1,5
2,1,0,15
3,1,1,9
4,2,0,23
5,2,1,14
6,3,0,32
7,3,1,18
8,4,0,39
9,4,1,19
10,5,0,53
11,5,1,20
12,6,0,62
13,6,1,26
14,7,0,31
15,7,1,70
16,8,0,37
17,8,1,80
18,9,0,89
19,9,1,40
20,10,0,100
21,10,1,43
22,11,0,105
23,11,1,47
24,12,0,50
25,12,1,114
26,13,0,56
27,13,1,117
28,14,0,58
29,14,1,127
30,15,0,138
31,15,1,61
32,16,0,148
33,16,1,66
34,17,0,159
35,17,1,71
36,18,0,167
37,18,1,74
38,19,0,172
39,19,1,78
40,20,0,185
41,20,1,82
42,21,0,194
43,21,1,85
44,22,0,91
45,22,1,200
46,23,0,203
47,23,1,97
