,Cluster,Count,User
0,0,1,lizadye
1,0,1,sextoystumblr1
2,0,1,ginalou
3,0,1,ntlrvr
4,0,1,AscensionGuide_
5,0,1,thugcry
6,0,1,repuestosjuanch
7,0,1,gisepino
8,0,1,vickyygarza
9,0,1,sophiebethcarn
10,0,1,LivChristianLiv
11,0,1,GuaripeteSol
12,0,1,jennaxhes
13,0,1,katherinnkidd
14,0,1,andreanoricel
15,0,1,rodulfox
16,0,1,KatieKate1
17,0,1,gourtneycarrett
18,0,1,sviniger
19,0,1,DijahhPatel
20,0,1,TasteLikeLov
21,0,1,traveldealstool
22,0,1,givemeyouraII
23,0,1,weekirstyo
24,0,1,KeptenSpears
25,0,1,bstsellingbook
26,0,1,comicsrogue7
27,0,1,Pcrepairlkn
28,1,1,ZoylaHernandez0
29,1,1,MaryannBumstead
30,1,1,kajonyzocu
31,1,1,WendyAguirre173
32,1,1,iris_fontalvo
33,1,1,VeroSanchez544
34,1,1,ChelseaMonroe17
35,1,1,D0rianSalazaz
36,1,1,lucia_pa6
37,1,1,HeydiHernandez0
38,1,1,YoelAc0sta
39,1,1,RenierMat0s
40,1,1,AuzirisLopez
41,1,1,hector_ran1
42,1,1,zoilamolina2000
43,1,1,mariagalllo
44,1,1,hilorufy
45,1,1,wendy_donadof
46,1,1,LoriCasacha
47,1,1,opetywof
48,1,1,AlexandeJimene_
49,1,1,EliasAguirre235
50,1,1,JoseCardozo364
51,1,1,Any_Buitrag0
52,1,1,MarGarciaa39
53,1,1,LouRuiz44UW
54,1,1,MaoMunozfCSW
55,1,1,LuisMoncada78
56,1,1,Bibiana_Diaaz
57,1,1,andresfruda
58,1,1,AngelinaBary
59,1,1,MarcosTorres0
60,1,1,AntFederal
61,1,1,DebateMedellin
62,1,1,Aura_Villegas_
63,1,1,MedellinDebate
64,1,1,sakinetus
65,1,1,German_Beltran_
66,1,1,enriquetaguido
67,1,1,Beatriz_M0nter0
68,1,1,Alejo_Depablos
69,1,1,CuriosoInforma
70,1,1,M0raimaMedin4
71,1,1,inorexoqp
72,1,1,dylofivex
73,1,1,jaime_merentes
74,1,1,DorisLopez120
75,1,1,ixesogus
76,1,1,NannieSarabia4u
77,1,1,LisbethAcer0
78,1,1,RutheVazquezQF6
79,1,1,GennyAltamar
80,1,1,AlbeiroBarragi2
81,1,1,RomuloPint0_
82,1,1,DanieOrtega20
83,1,1,fanny_agu
84,1,1,MireyaBustos_98
85,1,1,mariana_v37
86,1,1,LinitaYepez
87,1,1,Gregorio_Pratoo
88,1,1,Nery_Laguado
89,1,1,EdieHernandez5P
90,1,1,Stephani_Serran
91,1,1,AntoniWVergara
92,1,1,R0gelioNoguera
93,1,1,Valecolombia0
94,1,1,LuzCorrea_
