,screen_name,text,tweet_id,cluster_pred
0,kristenstwrts,sendo a maior e que mais importa: ela tá com outra pessoa e feliz https://t.co/Vwn4uWQErE,778345847964721152,4
1,sarahclxw,😿 https://t.co/1tT3bImKOY,778345850238099457,5
2,Remy__89,"#brangelina
اسباب طلب الطلاق من براد بيت",778345852486189056,4
3,JRSox305,When you find out about brad's breakup via a baseball tweet.. #DidntKnow https://t.co/GhyArM4SPf,778345852859355137,5
4,amybruni,I know you all thought the #Brangelina news was big - but wait until you see what @AdamJBerry and I have to tell you tomorrow! 😉,778345854822445056,4
5,heyitsmeherecm,#Brangelina Decora tu cuarto con un Columpio 😍 Es muy FÁCIL Y BARATO de hacer 😉👌 https://t.co/aIvvtwjB63 😋,778345855459860480,1
6,imlycia,C'est une blague ? #Brangelina,778345857385132032,4
7,trueviralnews,"Ahmad Rahami, Suspect in N.Y. and ... #AttemptedMurder #NewJersey #Brangelina #news https://t.co/yaLRtayTi5 https://t.co/PhvH9X13vc",778345856433020928,5
8,MarthaECV,Arrepientanse pecadores jajajaja https://t.co/Wtq9u5yVzx,778345859276607488,5
9,artvisticstyles,"At least we have the Obamas 

#Brangelina https://t.co/WXpJJHz9ts",778345858035220480,4
10,iMovieHD,"All About Eve FuLL Movie'
https://t.co/qBjaxRF2fj
#Brangelina #TrumpACandy #TerenceCruthcher",778345860643991552,2
11,EmyKamallive,I know she still loves him always will love Brad even though shes better than him them being together was all oos and aws but  #Brangelina,778345860824494080,4
12,FashionInspire3,ThePlatformYT: When you realize love is dead 💔 #Brangelina https://t.co/m53HcYB07z,778345860665118724,2
13,JensBrink77,"Na gut, wenn sie anruft, gehe ich vielleicht ran... #brangelina",778345861038403584,5
14,celia878,💔💔💔 https://t.co/Gi4Zy3F6Ld,778345860602142720,5
15,JoyceGell2,This crap is hard to believe. They didn't even have a strong marriage when he left her. https://t.co/wgp9Llq3FR,778345864423026688,4
16,sco__,"Es de verdad lo mejor que me ha pasado en la vida 

#Brangelexit 
#Brangelina 
#TeamJen https://t.co/sPoci5gZYU",778345865094115329,5
17,unisseb,I think #brangelina was the only thing still holding this world together.,778345868600680449,4
18,misasoup_,This is a joke right https://t.co/OJm8Ty1ugd,778345868688666624,5
19,rubyrivera_,I'm more upset about #Brangelina breaking up than about my own parents divorce,778345869674287104,4
20,NoticieroArg,"TT ARGENTINA 18:27
1.#MacriEnLaONU
2.#FreeGilinsky
3.#NuevoVideoMicaSuarez
4.#Brangelina
5.Pablo Álvarez
6.#HastaSiemprePiscu
7.Dortmund",778345872438493186,5
21,ClotildeDuRoy,Angelina recrimina a Brad l'abuso di alcol e mariujana rei di avergli provocato alterazioni d'umore verso i figli. Ma che è... 😕 #Brangelina,778345873881325568,0
22,Alm0stDoctor,I guess the kids forgot the first rule of fight club #brangelina,778345876662124544,4
23,everromkdhna802,"Thats impossible 
But im sure there is a love between 
Them will never end ..💔 #Brangelina",778345879182807040,4
24,SaskiaJonker_,Duitse humor #pitty https://t.co/tsCzH2MzMe,778345878851612673,4
25,SophiaKyrie,"Me: Brad Pitt and Angelina Jolie are getting divorced...

Husband: Again?! 

#brangelina https://t.co/FZBMtzBfLi",778345880151658496,0
26,heyitsmeherecm,#Brangelina Decora tu cuarto con un Columpio 😍 Es muy FÁCIL Y BARATO de hacer 😉👌 https://t.co/aIvvtwjB63 😎,778345881074475008,1
27,drvino,Hot #brangelina news! https://t.co/t8ECJE613u,778345882773323776,5
28,Charissa_aa,My heart hurts  https://t.co/1WVx9mm6eN,778345882001543169,4
29,GingerSlim,Keep your Brad and Angelina. We had Den and Angie #Brangelina,778345883490480128,0
30,JackieOProblems,muuuuch better. #Brangelina https://t.co/jbxapEoonj,778345884778127360,5
31,KimHill1,I'm sorry to say this but this did make me laugh out loud! https://t.co/GSL7rVA6rl,778345885520584704,0
32,_NDX19,من شدة مالسالفه مقطعة قلبي حاولت اطنش بس مقدرت 💔 #Brangelina,778345886745300993,4
33,NotSoNormalMama,"I don't give a fuck about #Brangelina, where is justice for #TerenceCrutcher? #BlackLivesMatter",778345888754335744,4
34,janetvillanuevs,NO https://t.co/GL7xqBXIT9,778345893330161664,5
35,elvis_gituku,@CraneOfficial https://t.co/Vfk4Bcc7po,778345893321904128,5
36,emmacshell,Lol Jennifer Aniston rn #brangelina https://t.co/BwawYBfncN,778345895343624192,3
37,_mariakatrinaa,Why? 😭💔 https://t.co/REtWNiauab,778345899386933248,5
