,geo,screen_name,text,tweet_id,cluster_pred
0,,marc1gar,Conoce a los hijos de #Brangelina https://t.co/4y6j6mTMiD Vía Mileniohey https://t.co/SjjfCbUiUF,778356351491837952,0
1,,Theprudentialgh,"Hmmmm...... #Brangelina
😕 https://t.co/LxJS3f0UZs",778356353911881728,0
2,,AnthemOfGodness,Jennifer Aniston had Brad at his best years and now Justin Theroux ! the only person who had the best sex ever… https://t.co/aMKAwJpj71,778356353526030336,0
3,,OnlytheBooks,Yeahhhh https://t.co/aUzuaGL89q,778356356294119424,1
4,,paigeywageys,MARRIAGE IS A LIE NOO https://t.co/TQoU7wryTd,778356359544705024,0
5,,julliaaalala,holy shitballs i feel like crying rn https://t.co/ZP4IM9ejlp,778356360903692288,0
6,,CamillaHallNYC,Gotta love this headline on @CityAM on #Brangelina: London School of Economics lecturer to divorce actor husband,778356363038629888,0
7,,amanualbuquerqu,Meu Ship https://t.co/ZABo0nkQy4,778356363114217472,1
8,,tbhtreylon,will forever be missed  #Brangelina,778356364867362816,0
9,,Jaydee407,Y el #Brangelina me confirmó que la relación amorosa entre signos opuestos no es para siempre.,778356365454614528,1
10,,karlscampa,Crying https://t.co/9bJWvdhI71,778356366343757825,1
11,,MariaBrittoF,How are you holding up after hearing #Brangelina is over? https://t.co/EqMRiyZYQ0,778356366817783808,0
12,,deliaantonia5,Tuesday saw two seismic shifts in LA: #Brangelina's divorce and a small earthquake https://t.co/h4mjCx1ARt https://t.co/52sr5D6df6,778356368399069184,0
13,,gracefewright,Literally me finding out about #brangelina https://t.co/5wGoEkhg4p,778356371389644800,1
14,,AKA_DOLi1008,"Just to be clear about the whole #Brangelina thing, we're done with #Skittles now right?",778356377899134976,0
15,,jamieblynn,"Watch the trailer for Brad Pitt &amp; Marion Cotillard's new film, which has THE SAME PLOT AS MR &amp; MRS SMITH #brangelina https://t.co/Q6uub6FfdI",778356378050191360,0
16,,PortMiamiMike,Who gives a fuck 🖕🏿 #Brangelina,778356380705009664,0
17,,familia_leonil,que idiotice envolver a #JenniferAniston nisso ela nem ta ligando p isso ta lá com o marido dela de boas #Brangelina,778356383804710912,1
18,,dtp7a,"اكثر انسانه مستانسه حاليا هي #جينفر_انيستون 😂😂😂😂😂 
بسبب طلاق انجلينا وبراد 😂

#Brangelina https://t.co/dmAgkCEqbR",778356382965850116,0
19,,DjH3ctor86,"That's unfortunate for you son pmsl!! 

Karma is awesome! 

#teamjennifer #bradpitt #brangelina… https://t.co/jxcKQKtT9h",778356384572248064,0
20,,OvarioInflamado,"Mis aplausos a Angelina, se garcho a Brad cuando quiso, se caso y ahora le mete un boleo en el orto. Sos mi idola Angie  #Brangelina",778356388946964480,0
21,,mrchinoqwerty,Todos hablando de #Brangelina y nadie quiere hablar de los niños... ¡literalmente tienen un chingo! https://t.co/yYwmi0sPXC,778356388175020033,1
22,,satisfactshayne,E 'di ouch. #Brangelina,778356389785718785,0
23,,selenaandreass,"#Brangelina died,but I still have a hope that their love will never die. https://t.co/0MatNc9hQq",778356390037446656,0
24,,soph_morrison01,#Brangelina is over sand I'm dead,778356391492935680,0
25,,jpetrie18,"You know, because this is SO fucking important. Cops are still executing people for being black, but, hey, Brangeli… https://t.co/CBq39h8NdK",778356391782121472,0
26,,Srjohn16,😅😂 https://t.co/7ODn4TF8SM,778356396341366788,1
27,,mlynerweb,"#MLYNER
#NuestraVictoriaLaPaz
#Brangelina
Aprobado Acuerdo
Cota Mil
Jennifer Aniston

Temer
Jorge Roig
https://t.co/D6gfBdMIUP",778356401743822848,0
28,,NSOax,Conoce a los hijos de #Brangelina https://t.co/h73K8HgQv3 Vía Mileniohey https://t.co/z8YD8Tprp1,778356407049580544,0
29,,mamatwita,"First the Fat Boys, now this... #brangelina #boomerang",778356407435268096,0
30,,AnCincotti,"Si la engaño es un desgraciado.Se acaba de hace una histerectomía, y le hace esto.. No me sorprende que haya adelgazado tanto..  #Brangelina",778356408760795137,1
31,,Nova919News,"The internet has gone into melt-down over the shock #Brangelina split. She's filed for divorce, wanting custody of… https://t.co/Wuf4fumxvQ",778356408324468736,1
32,,lapierre_george,"AP: RT APEntertainment: #JenniferAniston memes explode in response to #Brangelina divorce
https://t.co/eyJUPPvOky… https://t.co/OyY9O2Q8xz",778356408400093184,0
33,,fulldayslog,"Well, R.I.P. #Brangelina
Year 2016, can we get now David Bowie back?",778356409700319232,0
34,,faithalma,I love them. They make my faith stronger. #Brangelina,778356411025678336,0
35,,cocoliciousse,💙 https://t.co/MGbSExMu8K,778356411096895488,1
36,,Noticonecta,¿Cuántos hijos tienen Brad Pitt y Angelina Jolie ? https://t.co/wvs9rHRVh0 #Brangelina https://t.co/DFE1NEb53H,778356411558424576,0
37,,kare_escorche,#Brangelina 😂😂😂😂😂😂 https://t.co/Zy4TBvHkYT,778356410392387584,0
38,,dorothy_shames,"Revenge fucking is not slutty. Seize some D, Angelina. #Brangelina",778356414565584896,0
39,,lea__seydoux,@wednesdaydreams https://t.co/KielwneJMH,778356414825705472,0
40,,mardanone,Tuesday saw two seismic shifts in LA: #Brangelina's divorce and a small earthquake https://t.co/rFAkIXM2ri https://t.co/wFL746SEKl,778356421985464320,0
41,,PhillyBFC,HAHAHAHAHAHAHA https://t.co/dvuZeRnowu,778356423273046016,0
42,,uglypicofbieber,Nooooooo https://t.co/1eICt4jr3w,778356424078462980,0
43,,WatchMyThron3,FUCK YA'LL @CNN ! 🖕🏾 https://t.co/A7OA9kM1lY,778356425986826240,1
44,,Paaaaablin,AMADO ❤️😍 https://t.co/3KLGBgXLGp,778356430017536000,0
45,,Soy_UnTeto,Ya estaba a nada de volver a creer en el amor y de repente Angelina y Brad se divorcian. #Brangelina,778356431892258818,1
46,,hennessyisrael,"#Brangelina: I’m deeply saddened – Brad Pitt says, as Angelina Jolie files for divorce: Angelina Jolie has fi... https://t.co/Dup2SHe5Us",778356433049923584,0
47,,Adeekehinde,"#Brangelina: I’m deeply saddened – Brad Pitt says, as Angelina Jolie files for divorce: Angelina Jolie has fi... https://t.co/GfLxg6uDjn",778356433268072448,0
48,,cinedesdelacuna,#AngelinaJolie le pide el divorcio a #BradPitt El mundo se acaba... #Brangelina https://t.co/LdIU07IoL6,778356432693497857,1
49,,TraineeMonaghan,Every family lawyer on hearing the news #Brangelina ... Cue the articles 🙊 https://t.co/ZcTREeSbGr,778356433784082432,0
50,,C0rleon,En vrai c'était le seul couple qui me faisait encore croire à l'amour #brangelina,778356434824224768,0
51,,Zarqaa1140,"#UNGA
#TrumpACandy
#TerenceCruthcher
#FreeGilinsky
#Brangelina
#في_عقر_ديارهم
https://t.co/cyg0hKAllf",778356436363386880,0
52,,Supermagoo45,"#brangelina shame, especially if the reasons 4 divorce r true; makes it sadder still. I wish them all lots of ❤️ and ☘ for their futures",778356437282095104,0
53,,AstridBabilonia,LOL https://t.co/bD5C4BsVV0,778356437969797120,0
54,,ElGaniyuIsah6,"Give me a K Give me an A Give me an R Give me
an M Give me an A What's that spell #Brangelina. __Jessica salad.. Nice",778356438804598784,0
55,,Frose9799,No they can't get a divorce think about the children😭 #Brangelina,778356440494772225,0
56,,sanjana_xoxo,not sure how i feel about this #Brangelina,778356442990538752,0
57,,theRealFlappyTr,#enviadoespecialArmas #Limite2GH17 #ErdoganVoiceofTheOppressed #حاجه_مصبرتك_عالدوام #FreeGilinsky #Brangelina https://t.co/yBzLlYM7NY,778356449277771776,0
58,,TolethaJDixon,Aaaaahahaha https://t.co/CMdQ2PjHgB,778356449911209984,0
59,,karojasko,#Brangelina #TeamJennifer https://t.co/gaGn2nTTtm,778356460992409600,0
60,,Abhilashkhude,Not break the Internet but broke the Internet #Brangelina,778356464075149312,1
61,,MisPakistan,Highway https://t.co/AUdF6r3ZSE #Brangelina,778356464285024256,0
62,,iEiO213,Jennifer Aniston when she heard bout' #Brangelina Justice!!! https://t.co/eZz80EqbIa,778356464670736384,0
63,,Ranjeeta_Kaur,😈😈😈😈 https://t.co/syYQiWjpox,778356466604355584,0
64,,summer_azur,"Да у нас тут тоже горе, родители видного сына элэнэр померли. Прям ваши разводы -  мелочь такая с нашей бедой. https://t.co/aaqBKgityx",778356468202496004,0
65,,noslenisnelson,@WorldofRJ #Goals https://t.co/WiUumKByuI,778356475622293505,1
66,,blonde008,"Seeing all these Jennifer Aniston gifs just makes me realise how much I loved and need to watch Friends all over again. 
#brangelina",778356476154933248,0
67,,BuffMaRea,☕☕ https://t.co/4KOouCgoix,778356479367737344,1
68,,marianneallyss1,Can't help asking questions why #Brangelina is getting a divorce. Why? Angelina. Why? Brad.,778356481443831808,0
69,,presleyweber,"Sad about #Brangelina breaking up, but not that sad bc now Brad &amp; I can walk off into the sunset and live happily ever after",778356481573855232,0
70,,gettingblonder,My thoughts entirely 😌 #TeamJen https://t.co/oUOBAEN8lB,778356485046894598,0
71,,juandh,RIP #Brangelina,778356485570965504,0
72,,RakeLonski_26,#Brangelina el amor si existe mis abuelos tienen 52años de casados y gracias a Dios los tengo todavia presente #VivaElAmor,778356488234491904,1
73,,mothroot,Pretty sure I saw the #Brangelina breakup depicted on the ceiling of the Sistine Chapel.,778356489199247360,0
74,,mirabostic18,But in all honestly #Brangelina is so sad because the kids are going to suffer more then they will. https://t.co/X7dFq4lEIH,778356489220042753,0
75,,itzcuddles4u,I'm waiting for @realDonaldTrump to somehow blame Islam &amp; Muslims for the #Brangelina breakup/divorce,778356491237687296,0
76,,Mr_Short_Stop,@DrSeussTrader say it isn't so #Brangelina :(,778356492139278336,0
77,,whatupbiotch,#Brangelina https://t.co/70IbEqMUa1,778356491560620032,0
78,,matt_berry01,jarry makes a point https://t.co/7HWJC0si4U,778356494458728450,1
79,,trueviralnews,I was the evil “other #Woman” #Brangelina #news https://t.co/C8D7BZi08B https://t.co/4N0f3BVUDP,778356495146680320,0
80,,MefahJoyner,I wish society cared as much about black lives as they do about the #Brangelina split #TerenceCrutcher,778356498455932929,0
81,,KimmiCocoaPop,Sad Brad and Angelina are splitting up but it really isn't my business or anyone else. Didn't the kids beg them to marry?  #Brangelina,778356499261251584,0
82,,AntoninoDamanti,"Ho smesso di credere all'amore eterno quando @AlBanoCarrisi e @RominaPowerOFC si sono separati.

#Brangelina? Pivelli di Hollywood!",778356499240353793,0
83,,alelily4,cuando te enteras que #brangelina se separa😩😩 https://t.co/uECeDnmPSd,778356499366092800,1
