,Cluster,Count,User
0,0,1,GregBHutchins
1,0,1,ChinchiIIing
2,0,1,_jbradley
3,0,1,eileendonovan02
4,0,1,jyuska
5,0,1,lizferg_
6,0,1,ShutUpAndrosky
7,0,1,SettleJnet
8,0,1,Hawk_Hopper
9,0,1,redoctober25
10,0,1,cciccone
11,0,1,juleskills
12,0,1,chromabone
13,0,1,richbyrne11
14,0,1,selwyntweets
15,0,1,TrumpPenceIND
16,0,1,K80Berg
17,0,1,bethrevis
18,0,1,dehowell29
19,0,1,DollarVigilante
20,0,1,K_Gapper
21,1,1,lustedafter
22,1,1,PPolley
23,1,1,ali
24,1,1,katcystephan
25,1,1,ColeGris
26,1,1,mmmoore420
27,1,1,Aphex93
28,1,1,AmeicanByRace
29,1,1,jujuberunnin
30,1,1,TheMicroScoop
31,1,1,GhostScit
32,1,1,skhall
33,1,1,antoinenorth
34,1,1,realcrystalswan
35,1,1,MattTribe
36,1,1,whaleesi
37,1,1,dkolkena
38,1,1,Cybersoulja
39,1,1,WStHendricks
40,1,1,rossr122
41,1,1,drenyeart
42,1,1,MandeePuleo
43,1,1,ToastersForever
44,1,1,AOke29
45,1,1,LouisLittle
46,1,1,Liverstealer
47,1,1,CindyHankin
48,1,1,CrutchWalk
49,1,1,JimmyAAlford
50,1,1,lanternsbuzz
51,1,1,Lynch68
52,1,1,ivan_hernandez
53,1,1,momsouthern
54,1,1,JanaLuvsNOLA
55,1,1,JSWTurnbull
56,1,1,bobsbugsbeagone
57,1,1,RamitMastiHFSC
58,1,1,Normanwildcat
59,1,1,mrmikenike1
60,1,1,vivianwest805
61,1,1,Jordy_vanLith
62,1,1,GeralynAnnie
63,1,1,jacyracy
64,1,1,justmeguy
65,1,2,blasphemy87
66,1,1,Agent_Orange76
67,1,1,teofilog
68,1,1,Fool_4_Music
69,1,1,JacobMSchmitt
70,1,1,SplortsFan
71,1,1,neo
72,1,1,JLBelt
73,1,1,_daryanasofia
74,1,1,crissypoo74
75,1,1,ShaynaGrissom
76,1,1,lilsquishypig
77,1,1,DanielM50047
78,1,1,007keyla007
79,1,1,CrudeArc
80,1,1,raquel2e
81,1,1,KingGreene14
82,1,1,stellar_zee
83,1,1,SevenMitchell
84,1,1,AmericaFirst17
85,1,1,fairjen
86,1,1,KOCOBret
87,1,1,SomethinNCommon
88,1,1,TheRiverWanders
89,1,1,AngDyertwdmom
90,1,1,tonimiller24
91,1,1,TheBookFeminist
92,1,1,rsiasoco
93,1,1,Jill_Ornitz
94,1,1,starsclaire
95,1,1,DespicableB
96,1,1,soupinbowl
97,1,1,Immortalizeboy
98,1,1,BemisKathleen
99,1,1,p9cker_girl
100,1,1,Newsweek
101,1,1,FenwickTT
102,1,1,t_stiver
103,1,1,reporterjoe
104,1,1,LBNLDee
105,1,1,kdstarbux
106,1,1,TaylorZfood
107,1,1,cassandra17lina
108,1,1,FriesGurl
109,1,1,Mike_Hustava
110,1,1,SacrdErthStudio
111,1,1,SkyNewsAust
112,1,1,LindseyKelk
113,1,1,adryenn
114,1,1,allTimothyPaul
115,1,1,cmbmediation
116,1,1,918StayGold
117,1,1,gorgeouscraazy
118,1,1,whereisjeannie
119,1,1,Deezxus
120,1,1,bungalevista
121,1,1,TrendyEyeCandy
122,1,1,scribetherapist
123,1,1,TheSpencerGreen
124,1,1,lynellewolfe
125,1,1,Ebydwhyte
126,1,1,JackDrees
127,1,1,ryan__renfro
128,1,1,LangleyMNeely
129,1,1,PrinceM0n0
130,1,1,juliepaulauski
131,1,1,Activist777mg
132,1,1,nico_hunt
133,1,1,ydnc
134,1,1,pdmreese
135,1,1,davehoover
136,1,1,TriniANGEL19
137,1,1,oconnellhugh
