,Cluster,Count,Word
0,0,1,🙄🔫
1,0,1,Sadly
2,0,1,spend.
3,0,15,all
4,0,1,yellow
5,0,2,four
6,0,1,ever.
7,0,1,sleep
8,0,1,fault...
9,0,1,oldest
10,0,2,hate
11,0,1,#DebateNight:
12,0,2,"""Trumped"
13,0,1,whose
14,0,2,"up,"
15,0,3,pointing
16,0,1,"importante,"
17,0,1,"up"""
18,0,2,Ronald
19,0,1,NHKはTwitterより数秒遅らせてせているのか
20,0,1,specifics.
21,0,2,under
22,0,1,sustainable.
23,0,7,started
24,0,1,#TXWatching2016
25,0,1,know's
26,0,1,eggrolls
27,0,1,#SmallBiz
28,0,4,every
29,0,1,summarized
30,0,4,GO
31,0,1,married
32,0,1,traje
33,0,1,school
34,0,1,"""how"";"
35,0,1,Less
36,0,2,SNL
37,0,1,does!!
38,0,14,companies
39,0,2,FUCKING
40,0,1,MAD
41,0,2,Go
42,0,1,this....
43,0,1,socialist
44,0,1,clothes
45,0,1,hora
46,0,1,NO.
47,0,1,excuses.
48,0,1,her.
49,0,1,yada.
50,0,1,"her,"
51,0,1,direct
52,0,2,second
53,0,1,families.
54,0,1,ATLANTIC
55,0,1,donald.
56,0,2,follow
57,0,1,WTHHHHHHH
58,0,1,it...
59,0,1,mama.
60,0,7,even
61,0,1,COMPARED
62,0,1,tonight's
63,0,1,near
64,0,1,@RealDonaldTrump
65,0,1,Game
66,0,1,sobre
67,0,1,Put
68,0,3,new
69,0,1,tape.
70,0,5,ever
71,0,9,Presidential
72,0,3,told
73,0,1,they'll
74,0,1,"dignified,"
75,0,1,"Sniffle"""
76,0,5,never
77,0,1,votes
78,0,10,here
79,0,3,.@realDonaldTrump
80,0,1,przypomina
81,0,1,plan...to
82,0,2,aren't
83,0,1,https://t.co/y97wi7b0Ci
84,0,1,día
85,0,1,counter.
86,0,1,substance
87,0,1,daughter
88,0,1,WWEesque
89,0,1,conditioning.
90,0,1,employees
91,0,1,economics
92,0,1,Hair
93,0,2,Shes
94,0,1,kweeen
95,0,3,NOT
96,0,1,listening.
97,0,1,i'm
98,0,1,liar.
99,0,1,dumpster
100,0,1,campaign
101,0,1,"""Trump-ed"
102,0,1,Giving
103,0,3,Watch
104,0,1,Dump.
105,0,1,replace
106,0,3,brought
107,0,1,"war,"
108,0,1,*cringes*
109,0,3,"population,"
110,0,1,"jobs?"""
111,0,1,sabe.
112,0,2,"""The"
113,0,1,YÜRÜ
114,0,1,tickle
115,0,1,spoke
116,0,10,would
117,0,1,volvieron?
118,0,1,right?
119,0,1,https://t.co/gvyPC9yZQE
120,0,1,world's
121,0,3,call
122,0,2,calm
123,0,2,right.
124,0,1,until
125,0,1,supporters
126,0,1,successful
127,0,1,haha
128,0,1,glass
129,0,1,count:
130,0,1,varsity
131,0,1,90
132,0,1,Russian.
133,0,1,off.
134,0,13,me
135,0,1,https://t.co/GRy98SZdk8
136,0,1,#WhereIsGary
137,0,3,word
138,0,1,wore
139,0,1,"""Queen"
140,0,1,setup
141,0,6,work
142,0,1,mi
143,0,1,Brooklynites
144,0,1,worn
145,0,1,temas
146,0,17,my
147,0,1,example
148,0,1,shook
149,0,1,#Mexico
150,0,1,wana
151,0,4,give
152,0,1,cited
153,0,66,in
154,0,2,#OpenTheDebates
155,0,1,über
156,0,9,want
157,0,3,times
158,0,2,Trump’s
159,0,2,FOR
160,0,1,stink's
161,0,2,end
162,0,9,Watching
163,0,1,Reducing
164,0,4,FoxNews:
165,0,1,https://t.co/wyzvNoHT75
166,0,1,LOHL.
167,0,1,ONE
168,0,7,very
169,0,2,writers
170,0,1,ヒラリーさんの上からのメッセージが鼻につくのよね...
171,0,1,stink-eye
172,0,5,answer
173,0,1,gate
174,0,1,win!
175,0,6,A
176,0,1,it!!
177,0,1,less
178,0,4,after
179,0,1,question...😒
180,0,1,https://t.co/MBSlTKB1T1
181,0,1,Will
182,0,1,wrong
183,0,1,"away,"
184,0,5,president
185,0,3,las
186,0,1,cold?
187,0,3,All
188,0,1,earners.
189,0,1,third
190,0,9,think
191,0,1,green
192,0,1,https://t.co/fR9QlIlqcY
193,0,1,quo.
194,0,1,Donny!
195,0,1,vote.
196,0,1,office
197,0,1,him's
198,0,1,welcomed
199,0,3,jabs
200,0,1,"""Why"
201,0,1,Hitlery
202,0,3,down.
203,0,1,Biggest
204,0,1,president!!
205,0,1,"down"""
206,0,19,I'm
207,0,1,aprobar
208,0,4,before
209,0,1,scoring
210,0,1,His
211,0,1,"then,"
212,0,4,personal
213,0,1,Hilary's
214,0,1,What's
215,0,3,","
216,0,3,Here
217,0,1,"dump,"
218,0,8,better
219,0,1,https://t.co/frjAzGXJyE
220,0,1,Cutting
221,0,1,then?
222,0,1,personas
223,0,2,Hil
224,0,1,Him
225,0,1,versus
226,0,7,then
227,0,6,them
228,0,1,fortunate?
229,0,1,fixation
230,0,1,"economy,"
231,0,1,unemployed
232,0,2,toad.
233,0,1,band
234,0,11,they
235,0,1,jab.
236,0,1,Hill.
237,0,1,"Hill,"
238,0,1,silver
239,0,1,ewwww
240,0,1,#IFeelLikeIFeltDuringTheSeinfeldFinale
241,0,1,adineradas
242,0,1,each
243,0,3,went
244,0,1,Check
245,0,1,"""losing"
246,0,1,esperava
247,0,2,financial
248,0,1,https://t.co/Eg0YdR4nmd
249,0,1,series
250,0,2,Wow
251,0,1,#TrumpBabbling
252,0,1,Anyone
253,0,9,Hillary's
254,0,2,taught
255,0,3,stealing
256,0,1,"""Mexico"""
257,0,1,4yr
258,0,1,#wheresgary?
259,0,1,Hablando
260,0,10,by
261,0,1,trending
262,0,2,Holy
263,0,1,god
264,0,1,Holt
265,0,2,Haha
266,0,2,start.
267,0,1,#America
268,0,1,"is,"
269,0,1,friends!!!
270,0,8,got
271,0,2,rn
272,0,1,foundation
273,0,1,rehearsed
274,0,5,you're
275,0,1,overseas?
276,0,1,Overpopulation
277,0,2,free
278,0,1,#VoteTrump2016
279,0,1,skin.
280,0,1,SHADE
281,0,1,wanted
282,0,1,greasy
283,0,1,"go,"
284,0,29,Clinton
285,0,1,companies...
286,0,1,created
287,0,2,starts
288,0,1,go!
289,0,1,AMERICAN
290,0,1,#foundation
291,0,1,Was
292,0,1,camera!
293,0,1,voters?
294,0,1,fuckin
295,0,1,who's
296,0,1,17.
297,0,13,already
298,0,1,economists
299,0,1,too!
300,0,1,grade
301,0,1,Please
302,0,1,Gen3
303,0,1,hearing
304,0,1,https://t.co/4aXtuO9mTL
305,0,1,stuff?
306,0,1,sober
307,0,1,"reward,"
308,0,1,Excited
309,0,1,https://t.co/pbPCgIC9GA
310,0,1,scene?
311,0,1,shotsssssss
312,0,1,Congress
313,0,10,their
314,0,2,top
315,0,1,power!
316,0,1,TRADE
317,0,1,https://t.co/s5cKdlaktI
318,0,1,Excellent
319,0,5,too
320,0,1,wants?
321,0,1,approach.
322,0,1,Valium
323,0,1,be?
324,0,2,rewards
325,0,1,https://t.co/tMcDCGZ49D
326,0,1,took
327,0,1,"""Donald,…"
328,0,1,(@brbiker111):
329,0,1,"was,"
330,0,3,Shots
331,0,1,Fun
332,0,1,Wait.
333,0,1,του
334,0,1,begins
335,0,1,"""Donald"
336,0,1,Ser
337,0,1,"""China,"
338,0,1,immigrants
339,0,1,🙄🙄
340,0,1,"presidency"""
341,0,1,shower
342,0,1,Damn...this
343,0,1,answer.
344,0,1,to.
345,0,2,feeling
346,0,1,https://t.co/xblHZ0UvCj
347,0,1,girl!
348,0,1,prison!!
349,0,1,este
350,0,1,más
351,0,1,return
352,0,10,talking
353,0,2,corny
354,0,1,lying.
355,0,3,seen
356,0,2,seem
357,0,1,uassa
358,0,1,Correct
359,0,2,#LanternsBuzz
360,0,1,forced
361,0,2,do.
362,0,1,What?
363,0,1,reminding
364,0,1,do!
365,0,18,-
366,0,1,drunk.
367,0,1,https://t.co/7dxm1sDt9O
368,0,1,Let's
369,0,1,Emperor.
370,0,1,"impuestos,"
371,0,3,They
372,0,1,laughed
373,0,1,👏🏾👏🏾👏🏾#debates
374,0,4,blue
375,0,1,#view20
376,0,1,though
377,0,1,"""..."
378,0,1,(@JayMerold):
379,0,22,what
380,0,1,flat...
381,0,1,https://t.co/nHzamEK8Dt
382,0,2,regular
383,0,1,long.
384,0,1,jerrrrbs!
385,0,1,policies.
386,0,1,Typical
387,0,1,The.
388,0,1,episode
389,0,2,"""trumped"
390,0,2,real.
391,0,2,corporate
392,0,1,dog
393,0,1,#LooksLikeACheetosChickenFrie
