,Cluster,Count,Word
0,0,1,LIFE
1,0,1,#emmys2016
2,0,1,https://t.co/9pfLhAGNX4
3,0,1,hate
4,0,1,¿Dónde
5,0,1,bABE
6,0,1,segments
7,0,1,https://t.co/mQByth5eLE
8,0,1,Buram
9,0,1,MUCH
10,0,1,Can't
11,0,1,sorry
12,0,2,@
13,0,2,every
14,0,1,https://t.co/9TFaegerOV
15,0,1,@ACSFX
16,0,1,https://t.co/3Lc0wu97nI
17,0,1,#styling
18,0,1,QUEL
19,0,3,red
20,0,1,r80
21,0,1,fuera
22,0,2,force
23,0,1,esos
24,0,1,tired
25,0,1,"naw,"
26,0,1,me.
27,0,1,others.
28,0,1,olvido
29,0,1,[@OfficialJLD]
30,0,3,even
31,0,1,#losers
32,0,1,@KylieJenner's
33,0,1,+
34,0,1,Emmy!
35,0,10,Game
36,0,4,sobre
37,0,2,new
38,0,6,ever
39,0,1,https://t.co/nkJsk5zacx
40,0,1,10.
41,0,1,rainha
42,0,1,mensajes
43,0,1,never
44,0,1,jajajajjaja
45,0,1,here
46,0,5,وجوائز
47,0,1,#AmericanCrime
48,0,1,🙌🏻
49,0,1,aren't
50,0,1,#Emmys!
51,0,1,gli
52,0,1,@kerrywashington
53,0,1,"#Emmys,"
54,0,2,Mr.
55,0,7,#Emmys.
56,0,2,🤘🏻
57,0,1,dizi
58,0,5,WON
59,0,6,#Emmys:
60,0,1,#Emmys?
61,0,3,campaign
62,0,1,her!!
63,0,1,https://t.co/AKNvqooco5
64,0,1,Jeb
65,0,1,https://t.co/QdjUDm09v4
66,0,1,Snow'a
67,0,1,https://t.co/BsvcjGV4Ef
68,0,1,https://t.co/7HFJ9OYzBD
69,0,2,https://t.co/YTYVxrCNFA
70,0,1,WHO
71,0,1,movie.
72,0,1,#Netflix
73,0,1,https://t.co/VZhvJSe3AU
74,0,1,call
75,0,1,type
76,0,1,tell
77,0,1,Alan's
78,0,2,"show,"
79,0,1,#morningjoe
80,0,1,supporters
81,0,1,pudo
82,0,4,award
83,0,1,Bilbao
84,0,1,sobering
85,0,3,Rami
86,0,1,merecía
87,0,1,-c4
88,0,13,me
89,0,1,https://t.co/Ovtjk903P0
90,0,1,Crazy
91,0,1,https://t.co/icccNUb3v2
92,0,1,mi
93,0,1,fancast
94,0,2,hizo
95,0,1,mt
96,0,1,https://t.co/HmHuGIvxi5
97,0,1,https://t.co/8CiAws18Zx
98,0,1,Headey
99,0,15,my
100,0,1,https://t.co/PQhCqXYaPz
101,0,6,La
102,0,1,#UptownFunk
103,0,1,@THR
104,0,1,#best
105,0,1,want
106,0,1,"everyone,"
107,0,1,keep
108,0,1,aging
109,0,1,!!'
110,0,1,end
111,0,1,bloggers/writers
112,0,1,https://t.co/8zCfXjSetm
113,0,1,https://t.co/nKjTEBzmec
114,0,4,how
115,0,6,amazing
116,0,3,#ThePeoplevOJSimpson
117,0,2,win.
118,0,1,JUI
119,0,1,Matt!
120,0,1,@amyschumer
121,0,1,estado
122,0,1,hoy
123,0,7,A
124,0,1,@AmericanCrimeTV
125,0,1,fever
126,0,1,Bates
127,0,1,Tabungan
128,0,1,tatuar
129,0,1,Christina
130,0,1,#scandal…
131,0,1,MUSIC
132,0,1,Bwahahaha!😋😋
133,0,1,FOUND
134,0,1,Weiner
135,0,1,YESSSS
136,0,1,types
137,0,4,las
138,0,1,writer!
139,0,1,All
140,0,1,wins
141,0,1,https://t.co/QcWMemiDOt
142,0,1,https://t.co/O7BlojtMLe
143,0,1,nominating.
144,0,1,I'd
145,0,1,upside
146,0,1,Another
147,0,2,gostou
148,0,2,to....
149,0,1,https://t.co/tyiWaEYFFn
150,0,1,https://t.co/XxPeUVWN95
151,0,1,https://t.co/MQN1HfVeXd
152,0,1,aguenta
153,0,3,detikcom:
154,0,3,Peraih
155,0,1,@Mediaite
