,Cluster,Count,Word
0,0,2,all
1,0,1,6.Eduardo
2,0,1,2.#YYCPride
3,0,1,@ericvmolina
4,0,1,WE
5,0,1,one.
6,0,1,https://t.co/S6lE9kabSM
7,0,4,https://t.co/LDKe11fUpa
8,0,1,(which
9,0,1,issues
10,0,1,4.#HowToConfuseAMillennial
11,0,1,HASHTAG
12,0,1,tweet
13,0,1,Watch
14,0,1,young
15,0,1,Obama's
16,0,7,to
17,0,1,MUCH
18,0,1,grandmothers?
19,0,1,pretty
20,0,1,under
21,0,1,https://t.co/nApVO4SXyr
22,0,1,SAYING
23,0,1,https://t.co/GC9HLPZ0sQ
24,0,1,Ha.
25,0,1,#Maturity?
26,0,1,between
27,0,1,Turn
28,0,1,sun.
29,0,1,X
30,0,1,difference
31,0,1,@cnni
32,0,1,worthless.
33,0,1,Pointing
34,0,1,Don't
35,0,1,:D
36,0,1,4.#NASCARThrowback
37,0,1,1.#Riders
38,0,1,phonebook
39,0,1,cartoons
40,0,1,412
41,0,1,car
42,0,1,release
43,0,1,titled
44,0,1,For
45,0,2,phones
46,0,1,"this,"
47,0,1,tires
48,0,1,see
49,0,1,@CTevein
50,0,2,are
51,0,1,Wanting
52,0,2,even
53,0,1,what
54,0,1,2B
55,0,4,COSTUME
56,0,1,BUT
57,0,1,BY
58,0,2,cell
59,0,2,3
60,0,1,simplest
61,0,3,technology
62,0,1,America
63,0,1,STARTING
64,0,1,https://t.co/SwmKMnxOdW
65,0,1,@bigmacher
66,0,1,Buzzfeed
67,0,1,spiecies
68,0,1,anyway)
69,0,1,no
70,0,1,article
71,0,1,"say,"
72,0,1,#Clinton
73,0,1,candidate
74,0,1,Give
75,0,1,#PoliticalCorrectness
76,0,1,Children
77,0,1,3.
78,0,2,SOCIAL
79,0,1,aka
80,0,1,old.
81,0,1,ruin
82,0,1,https://t.co/m1o4NT7r9X
83,0,1,liked
84,0,1,https://t.co/yLEREjBSvL
85,0,1,Her
86,0,1,point
87,0,1,It's
88,0,1,@Hefflin
89,0,1,"fifties,"
90,0,1,War
91,0,1,@elmoyero
92,0,1,use
93,0,3,or
94,0,2,from
95,0,1,would
96,0,1,Biology
97,0,1,it's
98,0,1,angry
99,0,2,been
100,0,1,by
101,0,2,Hillary
102,0,1,https://t.co/j3zygqXB1I
103,0,1,#Trump
104,0,1,"consider,"
105,0,2,diversity
106,0,1,"""hook"
107,0,4,N
108,0,3,hashtag
109,0,1,actual
110,0,2,an
111,0,1,paying
112,0,1,keeping
113,0,2,look
114,0,1,40
115,0,3,this
116,0,1,#juvenoia?
117,0,1,Lets
118,0,2,will
119,0,1,movies
120,0,1,while
121,0,1,can
122,0,1,@ddeessnuts
123,0,1,fun
124,0,1,Your
125,0,1,#separate
126,0,1,Bill
127,0,1,Media
128,0,6,is
129,0,1,5.Joe
130,0,4,it
131,0,1,5.Kendial
132,0,1,TOO
133,0,4,in
134,0,1,ironic
135,0,1,it...every
136,0,1,Intellivision
137,0,1,!
138,0,1,funny
139,0,1,"misogyny,"
140,0,1,"""How"
141,0,3,make
142,0,1,get
143,0,1,#Hillary
144,0,1,IFFY
145,0,1,write
146,0,1,how
147,0,1,President
148,0,1,https://t.co/P6o376sp7G
149,0,2,3.#JustCantWaitFor
150,0,1,Why
151,0,1,A
152,0,1,https://t.co/Xdldt8ftVt
153,0,1,Nathan
154,0,1,replacing
155,0,1,advice
156,0,1,https://t.co/PgjHhOJqNU
157,0,1,prance
158,0,1,Martin
159,0,1,@MSNBC
160,0,1,Weiner
161,0,1,@CNNManager
162,0,1,guys
163,0,1,"experiance..."""
164,0,1,kid
165,0,2,a
166,0,1,All
167,0,1,off
168,0,1,remember
169,0,1,people.
170,0,1,technology.
171,0,1,fictional
172,0,1,One
173,0,1,thought
174,0,30,#HowToConfuseAMillennial
175,0,1,so
176,0,1,it;thus
177,0,1,things
178,0,12,the
179,0,1,opinions
180,0,2,What
181,0,2,help
182,0,2,just
183,0,2,don't
184,0,2,#GameDay
185,0,4,VIEW:
186,0,2,years
187,0,1,bcuz
188,0,1,sources
189,0,1,#FutureLuminous
190,0,1,—
191,0,1,facts
192,0,1,"$2,700"
193,0,1,SPEND
194,0,1,10yrs
195,0,1,https://t.co/GWXokj25AC
196,0,1,seems
197,0,1,wen
198,0,1,can't
199,0,1,JOB
200,0,1,other
201,0,1,degrees
202,0,2,4
203,0,1,@foxandfriends
204,0,1,World
205,0,1,2.
206,0,2,has
207,0,1,real
208,0,2,then
209,0,9,them
210,0,1,good
211,0,1,😱
212,0,1,around
213,0,1,qualified
214,0,1,snark
215,0,5,they
216,0,4,not
217,0,5,using
218,0,3,complain
219,0,2,ON
220,0,1,outright
221,0,1,Boomers
222,0,2,like
223,0,1,"up""."
224,0,1,"racism,"
225,0,1,News
226,0,1,soon.
227,0,1,millennials
228,0,1,Using
229,0,1,😂
230,0,2,#PAXWest
231,0,1,OR
232,0,1,em
233,0,1,ABOUT
234,0,2,old
235,0,1,brakes
236,0,2,people
237,0,1,@Rookieboy12345
238,0,1,dead
239,0,1,Damn
240,0,1,Apiece!
241,0,1,RTs
242,0,1,Hire**
243,0,1,COMPLAIN
244,0,1,"Hell,"
245,0,2,out
246,0,1,CANADA
247,0,2,trending
248,0,5,for
249,0,1,since
250,0,1,7.Russell
251,0,1,your
252,0,1,I
253,0,1,https://t.co/qPbsTA97MA
254,0,1,#America
255,0,3,be
256,0,1,"""Position"
257,0,4,JACKETS
258,0,1,bc
259,0,1,This
260,0,2,MEDIA
261,0,1,@hardlytryinhard
262,0,1,there.
263,0,1,Ruined
264,0,1,@tony5w
265,0,1,ask
266,0,1,&amp;
267,0,1,Propaganda
268,0,1,on
269,0,5,about
270,0,2,Clinton
271,0,1,6.Chris
272,0,1,created
273,0,7,of
274,0,1,Questions
275,0,1,TIME
276,0,2,#ThePinkprintFreestyle
277,0,1,think
278,0,1,Brock
279,0,2,Use
280,0,2,450
281,0,1,ME.
282,0,2,confuse
283,0,1,Two
284,0,2,one
285,0,1,Turner
286,0,1,changing
287,0,1,drove
288,0,1,YOU
289,0,2,you're
290,0,1,service
291,0,1,Lawrence
292,0,1,"X"""
293,0,1,filthy
294,0,1,support
295,0,1,Spell
296,0,1,why
297,0,1,https://t.co/gcCQQmRhwp
298,0,2,their
299,0,2,Vegas
300,0,1,authorized
301,0,1,fought
302,0,1,https://t.co/iStP5MnDbR
303,0,2,NW
304,0,1,@FoxNews
305,0,1,another?
306,0,4,that
307,0,1,2.#HowToConfuseAMillennial
308,0,1,took
309,0,4,but
310,0,1,back
311,0,2,Millennials
312,0,2,Las
313,0,1,That'll
314,0,1,believe
315,0,3,with
316,0,1,in-field
317,0,1,bit.
318,0,1,Rodriguez
319,0,1,**New
320,0,1,up
321,0,1,historical
322,0,1,acting
323,0,1,cake
324,0,1,02:52
325,0,1,reject.
326,0,1,NDAAct
327,0,1,Is
328,0,1,1.
329,0,5,and
330,0,1,DO
331,0,1,"US,"
332,0,1,adults
333,0,1,USA
334,0,1,listening
335,0,1,life
336,0,1,sad
337,0,1,https://t.co/7FgAlPh5Vo
338,0,1,single
339,0,1,have
340,0,1,documents
341,0,1,humanities
342,0,2,TT
343,0,1,❤️s!
344,0,1,when
345,0,1,snow
346,0,1,shocked
347,0,1,TO
348,0,4,#howtoconfuseamillennial
349,0,1,take
350,0,1,They
351,0,7,Ask
352,0,2,you
353,0,1,facts.
354,0,1,Jones
355,0,1,https://t.co/In4dWZ8qRg
356,0,1,"xenophobia,"
357,0,1,Like
358,0,1,millennial
359,0,1,who
360,0,1,101.
361,0,1,https://t.co/GOIDKSyICQ
362,0,1,1%.
363,0,2,#JustCantWaitFor
364,0,1,The
365,0,1,WarMonger
366,0,1,policies.
367,0,1,2
368,0,1,1.#ThePinkprintFreestyle
369,0,1,requires
370,0,1,"""millenial"""
371,0,1,later
372,0,1,Some
373,0,1,https://t.co/qk6bJ5bLXU
374,0,1,https://t.co/ZKoYwK4Ac1
375,0,1,18:53
376,0,1,https://t.co/Yp32IR4uIT
377,1,1,katy
378,1,7,all
379,1,1,concept
380,1,2,Millenials
381,1,2,#TrumpPence16
382,1,1,Sun
383,1,1,caused
384,1,3,hashtag
385,1,1,#CrookedHillary
386,1,1,splitting
387,1,1,https://t.co/MdQNewAbSB
388,1,1,protest
389,1,2,Trending
390,1,4,Take
391,1,1,dootball
392,1,4,go
393,1,1,paycheck.
394,1,1,Millennial-bashing.
395,1,1,horseless
396,1,1,reform:
397,1,1,whose
398,1,1,hunting
399,1,1,❤️‍
400,1,1,#Libertarianism
401,1,1,"""offended"""
402,1,2,tweet
403,1,1,Bravo!
404,1,2,young
405,1,1,mistakes
406,1,38,to
407,1,2,program
408,1,1,Muslims....
409,1,3,pay
410,1,2,#samanata
411,1,1,Now
412,1,1,veterans
413,1,1,https://t.co/FUDg3MCKbC
414,1,1,sound
415,1,1,fax
416,1,1,footsie
417,1,1,#Hermine
418,1,1,very
419,1,1,"mess,"
420,1,1,Baby
421,1,1,facebook
422,1,1,accuse
423,1,2,I'm
424,1,1,Where
425,1,1,college.
426,1,1,school
427,1,1,ranting
428,1,1,Just
429,1,2,Don't
430,1,1,companies
431,1,1,they've
432,1,1,relentlessly
433,1,1,https://t.co/RcKHM4smdy
434,1,1,try
435,1,1,settle
436,1,1,Go
437,1,1,https://t.co/aFJG4qerSf
438,1,1,round
439,1,1,@VagueZen
440,1,59,the
441,1,1,droid
442,1,2,✅
443,1,1,portable
444,1,1,Earned
445,1,1,phones
446,1,1,group.
447,1,1,Protestant
448,1,1,"""Inflationary"
449,1,1,past
450,1,1,design.Keep
451,1,1,carriages
452,1,1,cursive!
453,1,1,conscience
454,1,1,trick
455,1,3,what
456,1,4,stands
457,1,1,showcase
458,1,1,giving
459,1,1,"pacemakers,"
460,1,2,cell
461,1,1,paying
462,1,1,version
463,1,1,change:
464,1,1,Hurts
465,1,2,Put
466,1,1,new
467,1,1,Worked
