,Cluster,Count,User
0,0,1,rayshaunagray
1,0,1,atleasttim
2,0,1,kchamomile
3,0,1,Raymon424
4,0,1,__nrgy
5,0,1,Scoztastic
6,0,1,dinky_sports
7,0,1,RogerMichaelPat
8,0,2,KingJohnLove
9,0,1,StormtrooperZeb
10,0,1,BrainGoblin
11,0,1,msblackGirlUSA
12,0,1,Fat_Ashton99
13,0,1,gitm000110
14,0,1,mike_smith267
15,0,1,WrightAaronM
16,0,2,LibsWantMeDead
17,0,1,shawlarryjr
18,0,2,shivashaktam
19,0,1,TideOfFools
20,0,1,Favstar_Bot
21,0,1,CurlyMishap
22,0,1,VonSpeedy
23,0,4,UrbanLeather01
24,0,1,NickersFpdx
25,0,2,TheWilliamHaven
26,0,2,FromNoWhere97
27,0,1,rob_squad
28,0,1,alexthesilva
29,0,1,GlenninVirginia
30,0,1,J_glason
31,0,1,tonygoldmark
32,0,1,LexAlexander
33,0,1,tedscott4
34,0,1,giveawaydots
35,0,2,JosephScientist
36,0,1,SpenceLarson
37,0,1,NatWillOwen
38,0,1,wellflow1
39,0,1,GabeInnecco
40,0,1,MAGAgoyim
41,0,1,Allayjah
42,0,1,FreeSpeechOrDie
43,0,1,PoCBeauty
44,0,1,Ohdsarha
45,0,1,victorbreaux
46,0,1,FashyTay
47,0,1,zyndajm
48,0,1,KarmaWolff
49,0,3,utsadeli
50,0,1,m_scolari_III
51,0,1,akki_kawade
52,0,1,Go_Pinkey
53,0,1,BEWHallend
54,0,1,Pakka1212
55,0,1,inaneframe
56,0,1,pontificatormax
57,0,1,DonaldT4Prez
58,0,1,WillieBangg
59,0,1,VENUSlMA
60,0,1,timvicious
61,0,1,0ld_Bones
62,0,1,idhstg
63,0,1,georgeduff2
64,0,2,Valyss2
65,0,1,umreese
66,0,1,evanlihou
67,0,1,doggyfaceniall
68,0,1,ThisSling
69,0,1,SwiftOnSecurity
70,0,1,NattieCar
71,0,1,jennybookseller
72,0,2,RepublicofTrump
73,0,1,TommySkywlker11
74,0,1,alyrog
75,0,1,Defiler_Wyrm
76,0,1,__snatched
77,0,1,BPII_
78,0,1,KevinDobbie
79,0,1,ionnifdiuiodf
80,0,1,A2ZPlus1
81,0,1,DomesticLiberty
82,0,2,MichaelNiewidok
83,0,2,HowBoutDemOsHon
84,0,1,SeraphOfFire
85,0,1,redcricketblog
86,0,1,9595_soso
87,0,1,Lady_Sappho
88,0,3,BostieTweets
89,0,1,kadyalexis
90,0,1,TipUSNavy
91,0,1,RubinReport
92,0,1,liberty4meplz
93,0,1,cmdrdbleagle
94,0,1,binaryagent
95,0,1,flexi215
96,0,1,Cloudbeginner
97,0,1,TheTweetest
98,0,1,GaltsGultch
99,0,1,N3xcess
100,0,1,ArleneDMoss
101,0,1,safarishane
102,0,1,JLAwatchtower
103,0,1,barbara8120
104,0,1,NCguera
105,0,1,frontensembIe
106,0,1,Sean_A_Foster
107,0,1,ralphshields313
108,0,1,Mrforestmoon
109,0,1,King_Ejaee
110,0,1,TrendTopicsLa
111,0,1,TRIPPositivitY
112,0,1,ohitsbarbara
113,0,1,psgamer92
114,0,1,Jolade_
115,0,1,Arkansans4Hill
116,0,1,JohnJavis
117,0,1,ChaosMidge
